Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
15:59:58.709	HC-06(00:0C:BF:11:35:3A)	-0.028	-0.026	-1.014	0.244	0.000	0.000	-178.506	1.588	-105.359	10691.0	-19116.0	590.0	0.000	null	null	null	null	2631	
15:59:58.752	HC-06(00:0C:BF:11:35:3A)	-0.027	-0.026	-1.015	0.854	0.061	-0.122	-178.473	1.593	-105.353	10691.0	-19126.0	585.0	0.000	null	null	null	null	2631	
15:59:58.805	HC-06(00:0C:BF:11:35:3A)	-0.028	-0.027	-1.010	0.061	-0.061	0.000	-178.456	1.593	-105.353	10693.0	-19114.0	607.0	0.000	null	null	null	null	2631	
15:59:58.903	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.030	-1.007	-0.732	0.122	0.305	-178.478	1.593	-105.359	10698.0	-19109.0	582.0	0.000	null	null	null	null	2631	
15:59:59.009	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.028	-1.009	-0.488	0.061	0.305	-178.489	1.593	-105.364	10717.0	-19142.0	618.0	0.000	null	null	null	null	2631	
15:59:59.052	HC-06(00:0C:BF:11:35:3A)	-0.031	-0.028	-1.009	-1.099	-0.061	0.366	-178.456	1.599	-105.359	10709.0	-19126.0	624.0	0.000	null	null	null	null	2631	
15:59:59.102	HC-06(00:0C:BF:11:35:3A)	-0.032	-0.030	-1.006	0.244	-0.183	0.000	-178.456	1.599	-105.359	10710.0	-19113.0	596.0	0.000	null	null	null	null	2631	
15:59:59.155	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.027	-1.012	0.549	0.061	-0.122	-178.434	1.604	-105.359	10717.0	-19116.0	601.0	0.000	null	null	null	null	2631	
15:59:59.207	HC-06(00:0C:BF:11:35:3A)	-0.032	-0.030	-1.010	-0.366	0.061	0.000	-178.440	1.604	-105.359	10717.0	-19103.0	621.0	0.000	null	null	null	null	2631	
15:59:59.249	HC-06(00:0C:BF:11:35:3A)	-0.031	-0.028	-1.011	-0.244	0.183	0.183	-178.423	1.604	-105.359	10712.0	-19125.0	633.0	0.000	null	null	null	null	2631	
15:59:59.304	HC-06(00:0C:BF:11:35:3A)	-0.032	-0.030	-1.013	1.709	0.000	-0.244	-178.391	1.609	-105.359	10717.0	-19130.0	637.0	0.000	null	null	null	null	2631	
15:59:59.351	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.031	-1.014	0.549	0.000	-0.183	-178.352	1.609	-105.353	10722.0	-19120.0	650.0	0.000	null	null	null	null	2631	
15:59:59.404	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.031	-1.012	1.892	-0.183	-0.366	-178.308	1.615	-105.342	10713.0	-19112.0	674.0	0.000	null	null	null	null	2631	
15:59:59.457	HC-06(00:0C:BF:11:35:3A)	-0.031	-0.030	-1.008	-1.160	0.000	0.122	-178.330	1.615	-105.342	10699.0	-19117.0	679.0	0.000	null	null	null	null	2631	
15:59:59.501	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.031	-1.013	0.244	0.000	0.000	-178.314	1.615	-105.342	10723.0	-19132.0	692.0	0.000	null	null	null	null	2631	
15:59:59.549	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.033	-1.003	0.488	0.000	-0.061	-178.292	1.615	-105.342	10714.0	-19121.0	688.0	0.000	null	null	null	null	2631	
15:59:59.597	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.030	-1.013	-1.465	0.061	0.427	-178.314	1.615	-105.353	10719.0	-19118.0	674.0	0.000	null	null	null	null	2631	
15:59:59.651	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.031	-1.014	0.488	0.244	0.061	-178.308	1.615	-105.359	10731.0	-19101.0	657.0	0.000	null	null	null	null	2631	
15:59:59.699	HC-06(00:0C:BF:11:35:3A)	-0.028	-0.032	-1.012	0.000	0.061	0.244	-178.325	1.609	-105.370	10733.0	-19115.0	634.0	0.000	null	null	null	null	2631	
15:59:59.743	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.031	-1.011	-2.075	0.183	0.427	-178.363	1.604	-105.381	10740.0	-19112.0	653.0	0.000	null	null	null	null	2631	
15:59:59.805	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.030	-1.011	0.000	0.000	0.000	-178.423	1.599	-105.392	10732.0	-19113.0	639.0	0.000	null	null	null	null	2631	
15:59:59.848	HC-06(00:0C:BF:11:35:3A)	-0.031	-0.029	-1.009	0.793	0.061	-0.183	-178.374	1.599	-105.381	10729.0	-19127.0	636.0	0.000	null	null	null	null	2631	
15:59:59.896	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.029	-1.013	0.793	0.000	-0.122	-178.319	1.599	-105.375	10741.0	-19130.0	638.0	0.000	null	null	null	null	2631	
15:59:59.950	HC-06(00:0C:BF:11:35:3A)	-0.027	-0.032	-1.014	-1.831	0.000	0.183	-178.341	1.599	-105.375	10752.0	-19126.0	677.0	0.000	null	null	null	null	2631	
16:00:00.001	HC-06(00:0C:BF:11:35:3A)	-0.028	-0.028	-1.010	1.160	-0.061	-0.122	-178.369	1.599	-105.381	10753.0	-19145.0	684.0	0.000	null	null	null	null	2631	
16:00:00.041	HC-06(00:0C:BF:11:35:3A)	-0.027	-0.028	-1.010	0.366	0.000	-0.122	-178.369	1.599	-105.386	10756.0	-19131.0	660.0	0.000	null	null	null	null	2631	
16:00:00.101	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.032	-1.003	-1.221	0.000	0.122	-178.445	1.599	-105.397	10739.0	-19131.0	647.0	0.000	null	null	null	null	2631	
16:00:00.149	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.030	-1.015	2.441	-0.061	-0.244	-178.314	1.599	-105.375	10740.0	-19125.0	656.0	0.000	null	null	null	null	2631	
16:00:00.197	HC-06(00:0C:BF:11:35:3A)	-0.031	-0.033	-1.014	-2.136	0.061	0.488	-178.336	1.599	-105.381	10733.0	-19132.0	681.0	0.000	null	null	null	null	2631	
16:00:00.256	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.031	-1.017	2.625	0.122	-0.183	-178.358	1.599	-105.386	10736.0	-19143.0	660.0	0.000	null	null	null	null	2631	
16:00:00.302	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.031	-1.010	-0.183	0.061	0.183	-178.330	1.593	-105.397	10736.0	-19140.0	685.0	0.000	null	null	null	null	2631	
16:00:00.345	HC-06(00:0C:BF:11:35:3A)	-0.028	-0.028	-1.013	0.000	0.000	0.000	-178.363	1.593	-105.403	10729.0	-19124.0	680.0	0.000	null	null	null	null	2631	
16:00:00.398	HC-06(00:0C:BF:11:35:3A)	-0.030	-0.034	-1.007	0.610	0.061	0.000	-178.308	1.593	-105.403	10734.0	-19131.0	670.0	0.000	null	null	null	null	2631	
