Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
16:57:55.136	HC-06(00:0C:BF:11:35:3A)	-0.031	-0.038	0.988	0.732	1.160	1.770	-2.845	2.247	-31.833	-3031.0	-11531.0	-21440.0	0.000	null	null	null	null	2631	
16:57:55.245	HC-06(00:0C:BF:11:35:3A)	-0.008	-0.048	0.992	2.319	0.793	-4.272	-2.747	1.879	-31.426	-3097.0	-11495.0	-21466.0	0.000	null	null	null	null	2631	
16:57:55.325	HC-06(00:0C:BF:11:35:3A)	-0.022	-0.078	1.006	-0.061	-1.038	7.385	-2.802	1.895	-30.976	-3037.0	-11539.0	-21465.0	0.000	null	null	null	null	2631	
16:57:55.407	HC-06(00:0C:BF:11:35:3A)	-0.015	-0.057	0.996	-1.343	-2.563	-1.404	-2.796	1.835	-30.784	-3036.0	-11554.0	-21447.0	0.000	null	null	null	null	2631	
16:57:55.434	HC-06(00:0C:BF:11:35:3A)	-0.003	-0.056	0.989	0.122	-2.014	-9.644	-2.829	1.659	-30.910	-3042.0	-11558.0	-21460.0	0.000	null	null	null	null	2631	
16:57:55.542	HC-06(00:0C:BF:11:35:3A)	-0.002	-0.063	0.997	-2.502	-0.061	11.230	-2.884	1.642	-30.696	-3016.0	-11559.0	-21444.0	0.000	null	null	null	null	2631	
16:57:55.623	HC-06(00:0C:BF:11:35:3A)	-0.029	-0.071	0.988	0.122	-4.089	2.625	-2.889	1.555	-30.185	-3088.0	-11558.0	-21407.0	0.000	null	null	null	null	2631	
16:57:55.786	HC-06(00:0C:BF:11:35:3A)	-0.057	-0.041	0.996	0.122	8.057	-20.264	-2.834	1.340	-29.976	-3165.0	-11519.0	-21456.0	0.000	null	null	null	null	2631	
16:57:55.840	HC-06(00:0C:BF:11:35:3A)	0.013	-0.026	0.985	3.357	-1.709	1.831	-2.840	1.791	-30.322	-2933.0	-11609.0	-21472.0	0.000	null	null	null	null	2631	
16:57:55.928	HC-06(00:0C:BF:11:35:3A)	0.000	-0.087	0.977	-5.005	6.653	19.836	-3.021	2.203	-29.383	-2927.0	-11565.0	-21505.0	0.000	null	null	null	null	2631	
16:57:56.185	HC-06(00:0C:BF:11:35:3A)	-0.028	-0.093	1.016	-6.836	11.719	6.592	-2.571	2.906	-27.433	-2953.0	-11592.0	-21386.0	0.000	null	null	null	null	2631	
16:57:56.285	HC-06(00:0C:BF:11:35:3A)	-0.135	-0.071	0.999	0.854	11.169	-8.301	-3.175	3.642	-26.433	-3051.0	-11257.0	-21683.0	0.000	null	null	null	null	2631	
16:57:56.383	HC-06(00:0C:BF:11:35:3A)	-0.073	-0.055	1.035	23.254	18.066	45.898	-3.175	3.642	-26.433	-2949.0	-11232.0	-21786.0	0.000	null	null	null	null	2631	
16:57:56.434	HC-06(00:0C:BF:11:35:3A)	-0.202	-0.090	1.016	-5.798	33.936	-38.940	-2.505	7.108	-26.609	-2466.0	-11403.0	-21822.0	0.000	null	null	null	null	2631	
