Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
16:44:55.585	HC-06(00:0C:BF:11:35:3A)	-0.525	-0.008	0.798	-5.615	2.014	-14.832	3.126	35.140	-151.985	8401.0	-13492.0	-20691.0	0.000	null	null	null	null	null	
16:44:55.996	HC-06(00:0C:BF:11:35:3A)	-0.567	-0.006	0.785	7.080	-8.362	-23.804	-1.774	34.486	-157.214	10446.0	-12849.0	-21395.0	0.000	null	null	null	null	null	
16:44:56.327	HC-06(00:0C:BF:11:35:3A)	-0.428	-0.075	0.869	3.418	-53.589	-8.911	1.401	28.312	-159.428	10538.0	-13388.0	-20713.0	0.000	null	null	null	null	null	
16:44:56.448	HC-06(00:0C:BF:11:35:3A)	-0.532	0.047	0.918	13.489	-11.475	38.391	-2.708	27.378	-161.367	9613.0	-13246.0	-20827.0	0.000	null	null	null	null	null	
16:44:56.711	HC-06(00:0C:BF:11:35:3A)	-0.546	-0.069	0.917	-14.771	-32.715	43.152	1.950	23.934	-155.544	8159.0	-14281.0	-19413.0	0.000	null	null	null	null	null	
16:44:57.087	HC-06(00:0C:BF:11:35:3A)	-0.155	-0.037	0.959	3.723	-60.120	16.174	-4.449	26.285	-163.460	10335.0	-13104.0	-20775.0	0.000	null	null	null	null	null	
16:44:57.109	HC-06(00:0C:BF:11:35:3A)	-0.054	-0.294	0.874	7.263	-36.987	-9.033	-4.131	21.956	-161.746	9779.0	-12859.0	-20817.0	0.000	null	null	null	null	null	
16:44:57.370	HC-06(00:0C:BF:11:35:3A)	-0.251	-0.192	0.895	-27.283	-7.568	-38.757	-5.246	21.352	-164.427	9324.0	-13053.0	-21074.0	0.000	null	null	null	null	null	
16:44:57.503	HC-06(00:0C:BF:11:35:3A)	-0.534	-0.190	0.875	12.268	12.085	12.756	-5.246	21.352	-164.427	8664.0	-13050.0	-21056.0	0.000	null	null	null	null	null	
16:44:57.598	HC-06(00:0C:BF:11:35:3A)	0.152	-0.060	0.994	24.231	-17.883	47.913	-5.197	21.160	-162.466	8362.0	-12859.0	-21173.0	0.000	null	null	null	null	null	
16:44:57.709	HC-06(00:0C:BF:11:35:3A)	-0.759	-0.130	0.768	31.067	31.494	16.968	-2.170	20.901	-159.175	7908.0	-13019.0	-20825.0	0.000	null	null	null	null	null	
16:44:57.811	HC-06(00:0C:BF:11:35:3A)	-0.100	0.166	0.927	3.906	-28.564	53.101	-2.170	20.901	-159.175	9150.0	-13586.0	-20493.0	0.000	null	null	null	null	null	
16:44:58.118	HC-06(00:0C:BF:11:35:3A)	0.000	-0.048	0.825	-3.235	-39.063	9.766	-1.280	20.275	-154.781	6977.0	-13137.0	-20899.0	0.000	null	null	null	null	null	
16:44:58.246	HC-06(00:0C:BF:11:35:3A)	-0.507	-0.128	0.858	-29.175	-33.203	-37.720	-1.318	19.638	-154.133	5960.0	-12995.0	-20812.0	0.000	null	null	null	null	null	
16:44:58.338	HC-06(00:0C:BF:11:35:3A)	-0.084	-0.081	1.003	3.662	-6.531	-2.258	-2.428	19.248	-154.880	5808.0	-12854.0	-21351.0	0.000	null	null	null	null	null	
16:44:58.450	HC-06(00:0C:BF:11:35:3A)	-0.617	-0.168	0.862	-25.879	34.363	-51.270	-2.060	19.352	-154.819	5472.0	-12839.0	-21115.0	0.000	null	null	null	null	null	
16:44:58.507	HC-06(00:0C:BF:11:35:3A)	-0.314	0.006	0.981	-1.526	-7.141	34.912	-3.543	20.896	-155.880	6166.0	-12874.0	-21408.0	0.000	null	null	null	null	null	
16:44:59.257	HC-06(00:0C:BF:11:35:3A)	0.052	-0.167	0.948	0.122	-24.597	-15.869	-1.593	17.825	-152.935	5794.0	-13694.0	-20384.0	0.000	null	null	null	null	null	
16:44:59.434	HC-06(00:0C:BF:11:35:3A)	-0.548	-0.174	0.896	-37.354	-5.066	-32.776	-1.593	17.825	-152.935	5245.0	-13651.0	-20274.0	0.000	null	null	null	null	null	
16:44:59.550	HC-06(00:0C:BF:11:35:3A)	-0.142	-0.121	1.021	4.211	-11.963	39.001	-1.566	16.029	-155.198	6090.0	-13645.0	-20552.0	0.000	null	null	null	null	null	
16:44:59.891	HC-06(00:0C:BF:11:35:3A)	-0.308	-0.079	0.938	12.207	-27.527	61.768	0.291	14.139	-152.589	6760.0	-13749.0	-20477.0	0.000	null	null	null	null	null	
16:44:59.964	HC-06(00:0C:BF:11:35:3A)	0.372	-0.098	0.962	17.334	-47.913	19.165	-1.445	15.359	-154.127	6616.0	-13622.0	-20576.0	0.000	null	null	null	null	null	
16:45:00.001	HC-06(00:0C:BF:11:35:3A)	-0.118	-0.250	0.846	-16.052	26.062	-8.667	-1.571	14.656	-154.160	6190.0	-13643.0	-20331.0	0.000	null	null	null	null	null	
16:45:00.041	HC-06(00:0C:BF:11:35:3A)	-0.686	-0.166	0.922	-3.357	93.445	13.245	-2.236	17.622	-154.688	6407.0	-13618.0	-20299.0	0.000	null	null	null	null	null	
16:45:00.604	HC-06(00:0C:BF:11:35:3A)	0.064	0.332	0.963	-12.024	-19.165	19.775	-5.394	19.067	-159.340	8704.0	-13474.0	-20735.0	0.000	null	null	null	null	null	
16:45:00.708	HC-06(00:0C:BF:11:35:3A)	-0.870	-0.127	0.821	4.700	-36.926	-7.263	-5.394	19.067	-159.340	7802.0	-13795.0	-20339.0	0.000	null	null	null	null	null	
16:45:00.766	HC-06(00:0C:BF:11:35:3A)	-0.732	0.182	0.991	-0.549	72.144	-68.237	-5.394	19.067	-159.340	7795.0	-14080.0	-20143.0	0.000	null	null	null	null	null	
16:45:00.813	HC-06(00:0C:BF:11:35:3A)	-0.335	0.097	1.023	5.798	-34.180	73.120	-2.785	17.529	-155.989	8385.0	-14141.0	-20222.0	0.000	null	null	null	null	null	
16:45:00.901	HC-06(00:0C:BF:11:35:3A)	0.191	-0.083	0.934	-2.563	-60.425	-1.587	-2.785	17.529	-155.989	8030.0	-14098.0	-20288.0	0.000	null	null	null	null	null	
16:45:00.994	HC-06(00:0C:BF:11:35:3A)	-0.590	-0.258	0.882	26.733	46.814	6.592	-1.730	13.865	-154.677	7396.0	-14124.0	-20100.0	0.000	null	null	null	null	null	
16:45:01.049	HC-06(00:0C:BF:11:35:3A)	-0.249	0.113	1.062	10.010	39.612	-3.479	-1.730	13.865	-154.677	7396.0	-14124.0	-20100.0	0.000	null	null	null	null	null	
16:45:01.311	HC-06(00:0C:BF:11:35:3A)	0.172	-0.210	0.938	-18.921	-14.954	8.850	-1.730	13.865	-154.677	7261.0	-14498.0	-19957.0	0.000	null	null	null	null	null	
16:45:01.498	HC-06(00:0C:BF:11:35:3A)	-0.575	-0.099	0.878	-32.349	-2.136	-38.391	-2.401	14.930	-158.313	7617.0	-14882.0	-19807.0	0.000	null	null	null	null	null	
16:45:01.560	HC-06(00:0C:BF:11:35:3A)	0.246	-0.115	1.059	3.296	-17.517	60.364	-1.406	14.019	-155.808	7613.0	-14815.0	-19887.0	0.000	null	null	null	null	null	
16:45:02.154	HC-06(00:0C:BF:11:35:3A)	-0.198	-0.231	0.890	2.991	0.000	71.106	-2.395	12.508	-158.126	8224.0	-14808.0	-20241.0	0.000	null	null	null	null	null	
16:45:02.399	HC-06(00:0C:BF:11:35:3A)	0.383	-0.110	0.983	12.756	-41.443	20.264	-2.840	10.585	-156.918	8079.0	-14726.0	-20483.0	0.000	null	null	null	null	null	
16:45:02.444	HC-06(00:0C:BF:11:35:3A)	-0.097	-0.209	0.846	12.207	0.000	-0.793	-2.395	9.481	-157.132	7664.0	-14770.0	-20415.0	0.000	null	null	null	null	null	
16:45:02.730	HC-06(00:0C:BF:11:35:3A)	0.231	-0.039	0.958	17.639	39.490	7.935	-1.829	10.761	-157.429	8081.0	-15012.0	-20299.0	0.000	null	null	null	null	null	
16:45:03.009	HC-06(00:0C:BF:11:35:3A)	0.405	-0.225	0.891	7.019	-38.757	1.099	-1.675	8.690	-156.973	7698.0	-15249.0	-20268.0	0.000	null	null	null	null	null	
16:45:04.106	HC-06(00:0C:BF:11:35:3A)	0.424	-0.174	0.869	-62.927	-23.438	-50.659	-1.615	9.086	-158.560	8393.0	-15749.0	-20255.0	0.000	null	null	null	null	null	
16:45:04.161	HC-06(00:0C:BF:11:35:3A)	-0.050	-0.404	0.889	22.766	3.113	15.564	-2.499	4.779	-161.334	8400.0	-15686.0	-20247.0	0.000	null	null	null	null	null	
16:45:04.175	HC-06(00:0C:BF:11:35:3A)	-0.401	0.619	1.107	5.432	60.974	-18.494	-1.165	6.202	-160.648	8305.0	-15946.0	-20080.0	0.000	null	null	null	null	null	
16:45:04.261	HC-06(00:0C:BF:11:35:3A)	0.195	-0.048	1.039	21.057	-21.423	66.101	-1.730	5.801	-159.736	8491.0	-16012.0	-20288.0	0.000	null	null	null	null	null	
16:45:04.436	HC-06(00:0C:BF:11:35:3A)	-0.092	0.166	0.976	-1.831	-0.732	-13.245	-1.022	5.120	-158.923	8001.0	-16536.0	-19883.0	0.000	null	null	null	null	null	
16:45:04.753	HC-06(00:0C:BF:11:35:3A)	0.079	0.086	1.009	6.714	67.444	-70.801	-0.802	6.339	-160.010	8727.0	-16511.0	-20027.0	0.000	null	null	null	null	null	
16:45:04.981	HC-06(00:0C:BF:11:35:3A)	0.483	-0.066	0.922	18.127	-48.157	-1.160	-0.802	6.339	-160.010	8753.0	-16378.0	-19968.0	0.000	null	null	null	null	null	
16:45:05.536	HC-06(00:0C:BF:11:35:3A)	-0.818	-0.136	0.869	10.010	-36.743	38.757	-0.610	8.575	-160.400	9087.0	-16553.0	-19933.0	0.000	null	null	null	null	null	
16:45:05.777	HC-06(00:0C:BF:11:35:3A)	-0.274	0.426	1.177	28.320	66.650	-16.296	-0.593	5.960	-161.104	8890.0	-16977.0	-19843.0	0.000	null	null	null	null	null	
16:45:06.012	HC-06(00:0C:BF:11:35:3A)	0.133	0.209	1.019	25.391	-35.339	92.163	-0.593	5.960	-161.104	9080.0	-17439.0	-19411.0	0.000	null	null	null	null	null	
16:45:06.177	HC-06(00:0C:BF:11:35:3A)	-0.248	-0.032	0.951	-13.550	45.776	-49.377	-0.483	5.455	-160.746	9820.0	-17979.0	-19250.0	0.000	null	null	null	null	null	
16:45:06.749	HC-06(00:0C:BF:11:35:3A)	0.096	-0.113	0.989	15.320	-7.690	69.397	0.577	4.625	-162.488	10104.0	-17928.0	-19555.0	0.000	null	null	null	null	null	
16:45:07.383	HC-06(00:0C:BF:11:35:3A)	0.364	-0.234	0.937	20.996	-1.465	64.087	-0.533	3.708	-163.257	9978.0	-18603.0	-18730.0	0.000	null	null	null	null	null	
16:45:09.149	HC-06(00:0C:BF:11:35:3A)	-0.551	-0.273	0.877	44.983	51.758	-4.578	2.604	0.500	-162.949	10048.0	-18754.0	-18584.0	0.000	null	null	null	null	null	
16:45:09.193	HC-06(00:0C:BF:11:35:3A)	-0.529	0.669	1.052	-64.697	-13.672	-76.721	2.609	2.186	-165.690	10423.0	-19465.0	-18076.0	0.000	null	null	null	null	null	
16:45:09.270	HC-06(00:0C:BF:11:35:3A)	-0.042	-0.026	1.125	6.287	26.672	-5.615	0.879	0.236	-163.900	10718.0	-18438.0	-18730.0	0.000	null	null	null	null	null	
16:45:09.318	HC-06(00:0C:BF:11:35:3A)	-0.248	0.050	0.927	20.264	41.077	8.972	1.736	1.950	-163.707	11061.0	-18439.0	-18726.0	0.000	null	null	null	null	null	
16:45:09.449	HC-06(00:0C:BF:11:35:3A)	0.246	0.329	1.021	-6.958	-15.869	-10.681	0.731	0.621	-163.499	11332.0	-18581.0	-18805.0	0.000	null	null	null	null	null	
16:45:09.715	HC-06(00:0C:BF:11:35:3A)	0.504	-0.291	0.911	-7.996	-40.161	4.578	1.280	2.499	-165.580	11031.0	-18096.0	-19169.0	0.000	null	null	null	null	null	
16:45:10.257	HC-06(00:0C:BF:11:35:3A)	0.203	-0.198	0.888	-25.696	22.949	-111.084	1.280	2.499	-165.580	11192.0	-18366.0	-19084.0	0.000	null	null	null	null	null	
16:45:10.408	HC-06(00:0C:BF:11:35:3A)	0.395	0.435	1.084	-7.690	-34.241	2.869	1.280	2.499	-165.580	12082.0	-19027.0	-18724.0	0.000	null	null	null	null	null	
16:45:10.480	HC-06(00:0C:BF:11:35:3A)	-0.348	-0.217	0.911	-8.789	-35.095	-8.362	1.187	-3.461	-165.372	11305.0	-18067.0	-19241.0	0.000	null	null	null	null	null	
16:45:10.821	HC-06(00:0C:BF:11:35:3A)	0.420	0.976	1.178	-0.671	42.969	-69.946	1.187	-3.461	-165.372	10885.0	-18204.0	-19346.0	0.000	null	null	null	null	null	
16:45:10.890	HC-06(00:0C:BF:11:35:3A)	-0.251	-0.023	0.846	-67.810	-17.273	-43.091	2.038	-4.719	-165.399	10815.0	-18081.0	-19382.0	0.000	null	null	null	null	null	
16:45:11.022	HC-06(00:0C:BF:11:35:3A)	0.375	-0.337	1.117	18.311	-25.269	58.472	1.088	-3.988	-165.366	11675.0	-18545.0	-19422.0	0.000	null	null	null	null	null	
16:45:11.585	HC-06(00:0C:BF:11:35:3A)	-0.186	-0.174	0.913	20.630	-0.061	58.105	0.928	-5.405	-165.602	10668.0	-18044.0	-19492.0	0.000	null	null	null	null	null	
16:45:11.685	HC-06(00:0C:BF:11:35:3A)	0.429	-0.093	1.053	-1.587	-27.710	9.827	2.488	-6.647	-166.349	11344.0	-18622.0	-19274.0	0.000	null	null	null	null	null	
16:45:11.795	HC-06(00:0C:BF:11:35:3A)	0.692	-0.176	0.896	-1.526	-31.128	-2.808	2.159	-8.234	-166.816	10798.0	-18402.0	-19327.0	0.000	null	null	null	null	null	
16:45:11.943	HC-06(00:0C:BF:11:35:3A)	0.217	-0.158	0.806	22.278	-10.864	54.688	2.148	-7.125	-166.838	11595.0	-18534.0	-19466.0	0.000	null	null	null	null	null	
16:45:12.011	HC-06(00:0C:BF:11:35:3A)	0.674	-0.040	0.970	4.822	-31.982	-8.179	2.302	-8.141	-167.151	10985.0	-18481.0	-19444.0	0.000	null	null	null	null	null	
