Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
15:53:02.651	HC-06(00:0C:BF:11:35:3A)	0.483	0.239	0.853	1.038	-0.793	0.366	15.787	-28.471	30.163	1573.0	5645.0	-7888.0	0.000	null	null	null	null	2631	
15:53:02.766	HC-06(00:0C:BF:11:35:3A)	0.481	0.239	0.841	-0.061	0.610	-0.061	15.875	-28.592	30.070	1556.0	5660.0	-7868.0	0.000	null	null	null	null	2631	
15:53:02.842	HC-06(00:0C:BF:11:35:3A)	0.479	0.238	0.844	0.000	-1.465	-0.244	15.870	-28.614	30.004	1555.0	5647.0	-7911.0	0.000	null	null	null	null	2631	
15:53:02.945	HC-06(00:0C:BF:11:35:3A)	0.474	0.239	0.841	1.160	0.427	0.854	15.875	-28.647	29.954	1544.0	5646.0	-7907.0	0.000	null	null	null	null	2631	
15:53:03.055	HC-06(00:0C:BF:11:35:3A)	0.481	0.237	0.850	0.366	2.747	0.732	15.881	-28.438	30.048	1566.0	5640.0	-7888.0	0.000	null	null	null	null	2631	
15:53:03.148	HC-06(00:0C:BF:11:35:3A)	0.477	0.239	0.837	0.793	-0.732	0.244	15.903	-28.466	30.037	1577.0	5644.0	-7875.0	0.000	null	null	null	null	2631	
15:53:03.257	HC-06(00:0C:BF:11:35:3A)	0.479	0.234	0.852	-1.404	-0.061	-0.549	15.903	-28.488	30.020	1579.0	5645.0	-7893.0	0.000	null	null	null	null	2631	
15:53:03.343	HC-06(00:0C:BF:11:35:3A)	0.472	0.253	0.830	-1.709	2.747	-0.122	15.859	-28.455	29.954	1560.0	5635.0	-7877.0	0.000	null	null	null	null	2631	
15:53:03.457	HC-06(00:0C:BF:11:35:3A)	0.459	0.235	0.849	-1.953	-0.061	-1.892	15.606	-28.163	30.009	1601.0	5635.0	-7919.0	0.000	null	null	null	null	2631	
15:53:03.553	HC-06(00:0C:BF:11:35:3A)	0.485	0.229	0.857	-2.747	1.953	-0.061	15.348	-28.021	29.982	1618.0	5646.0	-7933.0	0.000	null	null	null	null	2631	
15:53:03.637	HC-06(00:0C:BF:11:35:3A)	0.509	0.247	0.864	-3.418	-13.367	6.104	15.244	-28.559	29.910	1620.0	5677.0	-7965.0	0.000	null	null	null	null	2631	
15:53:03.748	HC-06(00:0C:BF:11:35:3A)	0.480	0.194	0.830	-9.583	-7.080	8.606	13.969	-29.372	30.443	1527.0	5756.0	-7991.0	0.000	null	null	null	null	2631	
15:53:03.858	HC-06(00:0C:BF:11:35:3A)	0.461	0.198	0.796	6.287	4.822	-6.409	13.716	-29.306	30.526	1467.0	5859.0	-8023.0	0.000	null	null	null	null	2631	
15:53:03.939	HC-06(00:0C:BF:11:35:3A)	0.482	0.205	0.858	-3.296	2.197	0.244	14.008	-28.460	30.328	1511.0	5827.0	-8031.0	0.000	null	null	null	null	2631	
15:53:04.051	HC-06(00:0C:BF:11:35:3A)	0.467	0.273	0.904	-0.183	27.588	-10.132	15.337	-27.274	29.603	1611.0	5734.0	-8002.0	0.000	null	null	null	null	2631	
15:53:04.155	HC-06(00:0C:BF:11:35:3A)	0.446	0.214	0.838	-1.770	-17.517	3.601	14.859	-27.614	29.778	1721.0	5685.0	-8052.0	0.000	null	null	null	null	2631	
15:53:04.244	HC-06(00:0C:BF:11:35:3A)	0.435	0.186	0.796	2.563	14.160	-5.371	14.205	-27.762	29.960	1644.0	5759.0	-8036.0	0.000	null	null	null	null	2631	
15:53:04.354	HC-06(00:0C:BF:11:35:3A)	0.451	0.184	0.841	-4.883	-2.014	-10.742	14.205	-26.752	29.669	1722.0	5744.0	-8106.0	0.000	null	null	null	null	2631	
15:53:04.492	HC-06(00:0C:BF:11:35:3A)	0.479	0.183	0.913	-4.456	-14.954	10.925	13.475	-27.142	30.114	1754.0	5771.0	-8120.0	0.000	null	null	null	null	2631	
15:53:04.568	HC-06(00:0C:BF:11:35:3A)	0.430	0.225	0.769	20.935	23.560	-19.226	14.227	-27.010	29.817	1697.0	5828.0	-8115.0	0.000	null	null	null	null	2631	
15:53:04.664	HC-06(00:0C:BF:11:35:3A)	0.458	0.151	0.775	-6.226	-20.386	5.676	13.508	-27.444	30.267	1750.0	5782.0	-8119.0	0.000	null	null	null	null	2631	
15:53:04.737	HC-06(00:0C:BF:11:35:3A)	0.445	0.185	0.818	10.498	7.813	-8.484	13.579	-27.675	30.229	1656.0	5843.0	-8115.0	0.000	null	null	null	null	2631	
15:53:04.845	HC-06(00:0C:BF:11:35:3A)	0.452	0.246	0.952	-10.803	-20.508	11.108	13.629	-27.268	30.168	1702.0	5783.0	-8118.0	0.000	null	null	null	null	2631	
15:53:04.950	HC-06(00:0C:BF:11:35:3A)	0.539	0.174	0.818	-27.588	-18.250	10.315	11.085	-29.762	31.284	1570.0	5963.0	-8132.0	0.000	null	null	null	null	2631	
15:53:05.038	HC-06(00:0C:BF:11:35:3A)	0.498	0.166	0.963	-37.048	-23.560	9.521	8.058	-31.569	31.278	1381.0	6298.0	-8168.0	0.000	null	null	null	null	2631	
15:53:05.148	HC-06(00:0C:BF:11:35:3A)	0.518	-0.109	0.475	20.813	14.282	-20.630	5.850	-32.756	31.531	1188.0	6698.0	-8209.0	0.000	null	null	null	null	2631	
15:53:05.279	HC-06(00:0C:BF:11:35:3A)	0.505	-0.003	0.978	-32.410	-36.011	28.870	5.427	-31.641	31.899	1247.0	6634.0	-8178.0	0.000	null	null	null	null	2631	
15:53:05.345	HC-06(00:0C:BF:11:35:3A)	0.523	0.064	0.788	21.423	37.109	-20.447	4.653	-32.520	32.591	1131.0	6876.0	-8178.0	0.000	null	null	null	null	2631	
15:53:05.443	HC-06(00:0C:BF:11:35:3A)	0.486	0.045	0.783	-30.029	-16.785	29.297	3.477	-32.635	33.563	1190.0	6840.0	-8233.0	0.000	null	null	null	null	2631	
15:53:05.556	HC-06(00:0C:BF:11:35:3A)	0.552	0.065	0.815	34.424	32.227	-34.485	3.856	-32.113	33.849	1128.0	7053.0	-8213.0	0.000	null	null	null	null	2631	
15:53:05.638	HC-06(00:0C:BF:11:35:3A)	0.473	0.079	0.829	-26.978	-34.729	23.254	3.933	-32.492	33.915	1225.0	6878.0	-8221.0	0.000	null	null	null	null	2631	
15:53:05.748	HC-06(00:0C:BF:11:35:3A)	0.688	-0.107	0.659	25.940	28.381	-20.020	2.444	-33.283	35.376	1070.0	7126.0	-8196.0	0.000	null	null	null	null	2631	
15:53:05.884	HC-06(00:0C:BF:11:35:3A)	0.439	0.288	1.246	-10.864	-4.395	3.113	6.196	-30.646	32.657	1237.0	6842.0	-8214.0	0.000	null	null	null	null	2631	
15:53:05.962	HC-06(00:0C:BF:11:35:3A)	0.670	-0.054	0.574	-6.714	-1.282	10.864	2.598	-33.289	34.805	1160.0	6924.0	-8193.0	0.000	null	null	null	null	2631	
