Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
14:50:07.050	HC-06(00:0C:BF:11:35:3A)	-0.010	0.002	0.993	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.058	HC-06(00:0C:BF:11:35:3A)	-0.007	0.001	0.992	0.000	0.000	0.000	0.099	100.355	120.767	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.084	HC-06(00:0C:BF:11:35:3A)	-0.010	-0.001	0.994	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.105	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.001	0.992	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.108	HC-06(00:0C:BF:11:35:3A)	-0.008	0.001	0.995	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.145	HC-06(00:0C:BF:11:35:3A)	-0.007	0.002	0.996	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.191	HC-06(00:0C:BF:11:35:3A)	-7.009	0.000	0.992	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.195	HC-06(00:0C:BF:11:35:3A)	-0.006	10.167	-0.010	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.237	HC-06(00:0C:BF:11:35:3A)	-0.009	0.001	0.995	0.000	0.000	0.000	0.099	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.243	HC-06(00:0C:BF:11:35:3A)	-0.009	0.000	0.989	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.295	HC-06(00:0C:BF:11:35:3A)	-0.008	0.001	0.994	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.307	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.992	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.310	HC-06(00:0C:BF:11:35:3A)	-0.008	0.002	0.998	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.313	HC-06(00:0C:BF:11:35:3A)	-0.007	0.001	0.993	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.343	HC-06(00:0C:BF:11:35:3A)	-0.010	0.000	0.995	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.345	HC-06(00:0C:BF:11:35:3A)	-0.006	0.002	0.993	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.359	HC-06(00:0C:BF:11:35:3A)	-0.009	0.001	0.996	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.361	HC-06(00:0C:BF:11:35:3A)	-0.008	0.002	0.990	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.391	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.988	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.423	HC-06(00:0C:BF:11:35:3A)	-0.009	0.003	0.996	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.459	HC-06(00:0C:BF:11:35:3A)	-0.008	0.001	0.993	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.479	HC-06(00:0C:BF:11:35:3A)	-0.009	0.000	0.994	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.485	HC-06(00:0C:BF:11:35:3A)	-0.010	0.002	0.993	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.487	HC-06(00:0C:BF:11:35:3A)	-0.009	0.003	0.995	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.492	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.992	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.496	HC-06(00:0C:BF:11:35:3A)	-0.008	0.003	0.992	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.524	HC-06(00:0C:BF:11:35:3A)	-0.008	0.002	0.992	0.000	62.927	-1592.957	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.545	HC-06(00:0C:BF:11:35:3A)	-0.007	0.003	0.993	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.554	HC-06(00:0C:BF:11:35:3A)	-0.011	0.001	0.991	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.557	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.989	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.610	HC-06(00:0C:BF:11:35:3A)	-0.007	0.002	0.997	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.615	HC-06(00:0C:BF:11:35:3A)	-0.006	0.000	0.991	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.639	HC-06(00:0C:BF:11:35:3A)	-0.011	0.003	0.995	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.671	HC-06(00:0C:BF:11:35:3A)	-0.009	0.000	0.995	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.687	HC-06(00:0C:BF:11:35:3A)	-0.008	0.003	0.993	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.691	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.994	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.703	HC-06(00:0C:BF:11:35:3A)	-0.008	-0.001	0.993	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.728	HC-06(00:0C:BF:11:35:3A)	-0.010	0.002	0.996	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
14:50:07.736	HC-06(00:0C:BF:11:35:3A)	-0.009	0.002	0.997	0.000	0.000	0.000	0.093	0.511	-25.873	null	null	null	0.000	null	null	null	null	57344.0.0	
