Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
14:03:11.697	HC-06(00:0C:BF:11:35:3A)	-0.008	-0.004	0.996	0.000	0.000	0.000	-0.077	0.533	25.768	14131.0	10851.0	3397.0	0.000	null	null	null	null	2631	
14:03:11.743	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.001	0.994	0.000	0.000	0.000	-0.077	0.533	25.768	14133.0	10844.0	3388.0	0.000	null	null	null	null	2631	
14:03:11.789	HC-06(00:0C:BF:11:35:3A)	-0.011	0.003	0.996	0.000	0.000	0.000	-0.077	0.533	25.768	14132.0	10844.0	3382.0	0.000	null	null	null	null	2631	
14:03:11.832	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.002	0.994	0.000	0.000	0.000	-0.077	0.533	25.768	14132.0	10849.0	3400.0	0.000	null	null	null	null	2631	
14:03:11.835	HC-06(00:0C:BF:11:35:3A)	-0.008	-0.002	0.995	0.000	0.000	0.000	-0.077	0.533	25.768	14132.0	10849.0	3400.0	0.000	null	null	null	null	2631	
14:03:11.868	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.000	0.998	0.000	0.000	0.000	-0.077	0.533	25.768	14127.0	10851.0	3404.0	0.000	null	null	null	null	2631	
14:03:11.940	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.001	0.997	0.000	0.000	0.000	-0.077	0.533	25.768	14133.0	10845.0	3407.0	0.000	null	null	null	null	2631	
14:03:11.942	HC-06(00:0C:BF:11:35:3A)	-0.010	0.000	0.994	0.000	0.000	0.000	-0.077	0.533	25.768	14133.0	10845.0	3407.0	0.000	null	null	null	null	2631	
14:03:11.998	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.001	0.999	0.000	0.000	0.000	-0.077	0.533	25.768	14124.0	10844.0	3391.0	0.000	null	null	null	null	2631	
14:03:12.044	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.001	0.995	0.000	0.000	0.000	-0.077	0.533	25.768	14136.0	10846.0	3407.0	0.000	null	null	null	null	2631	
14:03:12.047	HC-06(00:0C:BF:11:35:3A)	-0.011	0.000	0.995	0.000	0.000	0.000	-0.077	0.533	25.768	14140.0	10834.0	3413.0	0.000	null	null	null	null	2631	
14:03:12.095	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.002	0.993	0.000	0.000	0.000	-0.077	0.533	25.768	14154.0	10831.0	3424.0	0.000	null	null	null	null	2631	
14:03:12.126	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.002	0.998	0.000	0.000	0.000	-0.077	0.533	25.768	14141.0	10835.0	3413.0	0.000	null	null	null	null	2631	
14:03:12.161	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.002	0.995	0.000	0.000	0.000	-0.077	0.533	25.768	14134.0	10837.0	3410.0	0.000	null	null	null	null	2631	
14:03:12.168	HC-06(00:0C:BF:11:35:3A)	-0.010	-0.002	0.995	0.000	0.000	0.000	-0.077	0.533	25.768	14134.0	10837.0	3410.0	0.000	null	null	null	null	2631	
14:03:12.204	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.003	0.998	0.000	0.000	0.000	-0.077	0.533	25.768	14122.0	10839.0	3394.0	0.000	null	null	null	null	2631	
14:03:12.233	HC-06(00:0C:BF:11:35:3A)	-0.010	-0.003	0.994	0.000	0.000	0.000	-0.077	0.533	25.768	14122.0	10839.0	3394.0	0.000	null	null	null	null	2631	
14:03:12.254	HC-06(00:0C:BF:11:35:3A)	-0.010	-0.002	0.996	0.000	0.000	0.000	-0.077	0.533	25.768	14126.0	10850.0	3388.0	0.000	null	null	null	null	2631	
14:03:12.311	HC-06(00:0C:BF:11:35:3A)	-0.010	-0.001	0.995	0.000	0.000	0.000	-0.077	0.533	25.768	14120.0	10850.0	3363.0	0.000	null	null	null	null	2631	
14:03:12.371	HC-06(00:0C:BF:11:35:3A)	-0.007	0.000	0.997	0.000	0.000	0.000	-0.077	0.538	25.768	14133.0	10843.0	3386.0	0.000	null	null	null	null	2631	
14:03:12.415	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.001	0.997	0.000	0.000	0.000	-0.077	0.538	25.768	14134.0	10851.0	3401.0	0.000	null	null	null	null	2631	
14:03:12.477	HC-06(00:0C:BF:11:35:3A)	-0.008	-0.001	0.999	0.000	0.000	0.000	-0.077	0.538	25.768	14138.0	10840.0	3399.0	0.000	null	null	null	null	2631	
14:03:12.527	HC-06(00:0C:BF:11:35:3A)	-0.009	0.000	0.998	0.000	0.000	0.000	-0.077	0.538	25.768	14137.0	10842.0	3395.0	0.000	null	null	null	null	2631	
14:03:12.561	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.002	0.999	0.000	0.000	0.000	-0.077	0.538	25.768	14134.0	10838.0	3395.0	0.000	null	null	null	null	2631	
14:03:12.588	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.001	0.998	0.000	0.000	0.000	-0.077	0.533	25.768	14144.0	10832.0	3410.0	0.000	null	null	null	null	2631	
14:03:12.630	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.002	0.994	0.000	0.000	0.000	-0.077	0.533	25.768	14135.0	10829.0	3413.0	0.000	null	null	null	null	2631	
14:03:12.633	HC-06(00:0C:BF:11:35:3A)	-0.010	-0.003	0.996	0.000	0.000	0.000	-0.077	0.533	25.768	14135.0	10829.0	3413.0	0.000	null	null	null	null	2631	
14:03:12.675	HC-06(00:0C:BF:11:35:3A)	-0.010	0.001	0.995	0.000	0.000	0.000	-0.077	0.533	25.768	14135.0	10843.0	3409.0	0.000	null	null	null	null	2631	
