Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:16:37.830	HC-06(00:0C:BF:11:35:3A)	-0.055	-0.011	1.000	-0.305	-2.747	1.038	-0.599	3.878	-167.585	1398.0	8411.0	-12666.0	0.000	null	null	null	null	2631	
13:16:37.844	HC-06(00:0C:BF:11:35:3A)	-0.055	-0.011	1.000	-0.305	-2.747	1.038	-0.599	3.878	-167.585	1398.0	8411.0	-12666.0	0.000	null	null	null	null	2631	
13:16:37.863	HC-06(00:0C:BF:11:35:3A)	-0.074	-0.011	0.998	-0.305	-2.747	1.038	-0.599	3.873	-167.569	1388.0	8414.0	-12668.0	0.000	null	null	null	null	2631	
13:16:37.879	HC-06(00:0C:BF:11:35:3A)	-0.066	-0.008	0.986	0.000	-1.282	1.160	-0.593	3.878	-167.536	1385.0	8424.0	-12676.0	0.000	null	null	null	null	2631	
13:16:37.893	HC-06(00:0C:BF:11:35:3A)	-0.065	-0.013	0.993	-0.122	-0.122	1.160	-0.593	3.878	-167.514	1377.0	8430.0	-12678.0	0.000	null	null	null	null	2631	
13:16:37.900	HC-06(00:0C:BF:11:35:3A)	-0.067	-0.015	0.993	0.122	-0.610	1.404	-0.593	3.873	-167.498	1377.0	8430.0	-12678.0	0.000	null	null	null	null	2631	
13:16:37.913	HC-06(00:0C:BF:11:35:3A)	-0.074	-0.020	0.994	-0.549	0.122	1.343	-0.593	3.873	-167.498	1386.0	8432.0	-12674.0	0.000	null	null	null	null	2631	
13:16:37.919	HC-06(00:0C:BF:11:35:3A)	-0.080	-0.011	0.997	0.244	0.671	1.099	-0.593	3.873	-167.498	1386.0	8432.0	-12674.0	0.000	null	null	null	null	2631	
13:16:37.933	HC-06(00:0C:BF:11:35:3A)	-0.073	-0.019	0.990	0.000	0.183	1.282	-0.593	3.889	-167.459	1386.0	8432.0	-12674.0	0.000	null	null	null	null	2631	
13:16:37.973	HC-06(00:0C:BF:11:35:3A)	-0.070	-0.009	0.999	0.305	-0.488	1.282	-0.593	3.878	-167.432	1376.0	8429.0	-12694.0	0.000	null	null	null	null	2631	
13:16:37.985	HC-06(00:0C:BF:11:35:3A)	-0.073	-0.010	0.994	-0.122	1.099	1.038	-0.599	3.878	-167.388	1378.0	8428.0	-12696.0	0.000	null	null	null	null	2631	
13:16:37.993	HC-06(00:0C:BF:11:35:3A)	-0.064	-0.015	0.987	0.122	-0.427	1.160	-0.599	3.878	-167.377	1380.0	8429.0	-12691.0	0.000	null	null	null	null	2631	
13:16:38.003	HC-06(00:0C:BF:11:35:3A)	-0.064	-0.015	0.994	-0.366	-0.488	1.221	-0.604	3.873	-167.366	1381.0	8431.0	-12690.0	0.000	null	null	null	null	2631	
13:16:38.010	HC-06(00:0C:BF:11:35:3A)	-0.065	-0.017	0.993	0.244	0.122	1.221	-0.604	3.873	-167.355	1378.0	8432.0	-12693.0	0.000	null	null	null	null	2631	
13:16:38.019	HC-06(00:0C:BF:11:35:3A)	-0.066	-0.011	0.993	-0.366	-0.488	1.160	-0.604	3.873	-167.338	1374.0	8428.0	-12690.0	0.000	null	null	null	null	2631	
13:16:38.033	HC-06(00:0C:BF:11:35:3A)	-0.069	-0.016	0.991	0.305	-0.427	1.160	-0.604	3.867	-167.327	1372.0	8427.0	-12693.0	0.000	null	null	null	null	2631	
13:16:38.045	HC-06(00:0C:BF:11:35:3A)	-0.071	-0.013	0.993	-0.061	0.610	1.099	-0.604	3.873	-167.316	1377.0	8429.0	-12697.0	0.000	null	null	null	null	2631	
