Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
15:30:51.281	HC-06(00:0C:BF:11:35:3A)	0.975	0.030	0.147	-19.104	-11.292	-4.211	10.997	-82.167	-10.289	-7776.0	27797.0	-18021.0	0.000	null	null	null	null	2631	
15:30:51.385	HC-06(00:0C:BF:11:35:3A)	0.983	0.009	0.084	7.996	-1.526	-0.977	12.805	-82.491	-12.838	-8121.0	27991.0	-17476.0	0.000	null	null	null	null	2631	
15:30:51.435	HC-06(00:0C:BF:11:35:3A)	1.008	0.031	0.127	-1.404	-16.663	0.000	14.343	-82.859	-14.464	-8227.0	27977.0	-17421.0	0.000	null	null	null	null	2631	
15:30:51.474	HC-06(00:0C:BF:11:35:3A)	1.066	0.018	0.087	-7.446	-1.953	-3.967	14.705	-82.831	-15.436	-8326.0	27984.0	-17309.0	0.000	null	null	null	null	2631	
15:30:51.548	HC-06(00:0C:BF:11:35:3A)	1.006	0.040	0.168	-18.555	-1.831	-2.747	14.573	-82.831	-15.315	-8341.0	27989.0	-17190.0	0.000	null	null	null	null	2631	
15:30:51.584	HC-06(00:0C:BF:11:35:3A)	0.984	0.028	0.099	-1.953	8.240	-0.122	14.584	-82.546	-15.996	-8309.0	28027.0	-17099.0	0.000	null	null	null	null	2631	
15:30:51.635	HC-06(00:0C:BF:11:35:3A)	0.969	0.023	0.111	-0.610	1.160	-1.831	14.414	-82.315	-15.886	-8252.0	28072.0	-17050.0	0.000	null	null	null	null	2631	
15:30:51.687	HC-06(00:0C:BF:11:35:3A)	1.028	0.027	0.117	7.629	-0.549	1.099	14.008	-82.474	-14.919	-8217.0	28061.0	-17046.0	0.000	null	null	null	null	2631	
15:30:51.730	HC-06(00:0C:BF:11:35:3A)	1.010	0.021	0.105	6.653	-5.066	0.000	13.958	-82.760	-14.420	-8158.0	27996.0	-17150.0	0.000	null	null	null	null	2631	
15:30:51.780	HC-06(00:0C:BF:11:35:3A)	0.999	0.025	0.102	2.747	-1.648	-1.038	15.101	-83.051	-15.260	-8164.0	27922.0	-17236.0	0.000	null	null	null	null	2631	
15:30:51.837	HC-06(00:0C:BF:11:35:3A)	0.988	0.026	0.098	2.563	0.000	1.160	15.040	-83.079	-15.117	-8185.0	27867.0	-17265.0	0.000	null	null	null	null	2631	
15:30:51.883	HC-06(00:0C:BF:11:35:3A)	0.992	0.029	0.117	1.282	-1.953	-0.061	14.650	-83.167	-14.365	-8190.0	27809.0	-17298.0	0.000	null	null	null	null	2631	
15:30:51.925	HC-06(00:0C:BF:11:35:3A)	0.979	0.031	0.105	-5.005	-8.545	-1.831	15.694	-83.518	-15.397	-8220.0	27763.0	-17337.0	0.000	null	null	null	null	2631	
15:30:51.977	HC-06(00:0C:BF:11:35:3A)	0.987	0.025	0.085	-3.174	-18.127	-1.404	18.034	-84.122	-18.089	-8305.0	27777.0	-17281.0	0.000	null	null	null	null	2631	
15:30:52.030	HC-06(00:0C:BF:11:35:3A)	0.990	0.034	0.070	-5.310	-21.729	-0.488	22.808	-85.292	-23.011	-8509.0	27785.0	-17086.0	0.000	null	null	null	null	2631	
15:30:52.080	HC-06(00:0C:BF:11:35:3A)	0.993	0.032	0.060	-2.991	-8.301	-2.563	27.691	-85.891	-28.120	-8755.0	27809.0	-16837.0	0.000	null	null	null	null	2631	
15:30:52.136	HC-06(00:0C:BF:11:35:3A)	0.957	0.047	0.072	7.629	-7.141	-1.465	31.783	-86.050	-32.426	-8954.0	27814.0	-16608.0	0.000	null	null	null	null	2631	
15:30:52.183	HC-06(00:0C:BF:11:35:3A)	0.971	0.053	0.035	-0.061	-1.282	1.465	33.651	-86.204	-34.371	-9071.0	27789.0	-16468.0	0.000	null	null	null	null	2631	
15:30:52.233	HC-06(00:0C:BF:11:35:3A)	0.993	0.045	0.054	-1.709	-10.071	0.183	35.266	-86.550	-36.030	-9103.0	27785.0	-16389.0	0.000	null	null	null	null	2631	
15:30:52.269	HC-06(00:0C:BF:11:35:3A)	1.049	0.041	0.012	5.859	-10.620	5.432	38.958	-86.869	-39.666	-9155.0	27810.0	-16265.0	0.000	null	null	null	null	2631	
15:30:52.335	HC-06(00:0C:BF:11:35:3A)	1.008	0.047	0.027	-0.183	-4.150	0.000	42.358	-87.281	-42.841	-9203.0	27808.0	-16176.0	0.000	null	null	null	null	2631	
15:30:52.376	HC-06(00:0C:BF:11:35:3A)	0.998	0.034	0.035	-4.456	0.671	0.366	42.726	-87.435	-43.000	-9221.0	27808.0	-16072.0	0.000	null	null	null	null	2631	
15:30:52.437	HC-06(00:0C:BF:11:35:3A)	1.059	0.030	0.016	-4.089	4.578	-4.456	42.687	-87.336	-42.610	-9209.0	27826.0	-16049.0	0.000	null	null	null	null	2631	
15:30:52.482	HC-06(00:0C:BF:11:35:3A)	0.994	-0.019	0.055	4.944	-3.540	-1.160	41.847	-87.248	-40.759	-9166.0	27812.0	-16094.0	0.000	null	null	null	null	2631	
