Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
16:53:26.780	HC-06(00:0C:BF:11:35:3A)	-0.416	-0.054	0.899	1.953	0.793	3.967	-3.466	24.906	42.171	8331.0	5859.0	-6197.0	0.000	null	null	null	null	2631	
16:53:26.827	HC-06(00:0C:BF:11:35:3A)	-0.406	-0.066	0.904	1.404	1.770	3.845	-3.367	24.906	42.429	8306.0	5838.0	-6228.0	0.000	null	null	null	null	2631	
16:53:26.928	HC-06(00:0C:BF:11:35:3A)	-0.441	-0.037	0.891	0.000	1.526	3.357	-3.235	24.939	42.589	8308.0	5844.0	-6214.0	0.000	null	null	null	null	2631	
16:53:26.974	HC-06(00:0C:BF:11:35:3A)	-0.416	-0.051	0.912	1.343	0.977	3.296	-3.142	24.895	42.682	8296.0	5815.0	-6251.0	0.000	null	null	null	null	2631	
16:53:27.029	HC-06(00:0C:BF:11:35:3A)	-0.455	-0.035	0.886	3.601	1.282	4.089	-2.939	24.901	42.814	8268.0	5800.0	-6248.0	0.000	null	null	null	null	2631	
16:53:27.080	HC-06(00:0C:BF:11:35:3A)	-0.421	-0.040	0.896	0.244	-3.845	-0.916	-2.873	24.851	42.814	8280.0	5790.0	-6243.0	0.000	null	null	null	null	2631	
16:53:27.126	HC-06(00:0C:BF:11:35:3A)	-0.416	-0.057	0.913	0.183	-4.333	0.488	-2.829	24.615	42.764	8261.0	5792.0	-6251.0	0.000	null	null	null	null	2631	
16:53:27.183	HC-06(00:0C:BF:11:35:3A)	-0.395	-0.075	0.906	6.348	0.793	6.714	-2.642	24.510	42.902	8242.0	5779.0	-6268.0	0.000	null	null	null	null	2631	
16:53:27.227	HC-06(00:0C:BF:11:35:3A)	-0.464	-0.026	0.868	3.601	-4.028	3.784	-2.241	24.450	43.171	8239.0	5770.0	-6327.0	0.000	null	null	null	null	2631	
16:53:27.273	HC-06(00:0C:BF:11:35:3A)	-0.390	-0.056	0.943	11.414	-12.268	5.615	-1.906	24.088	43.352	8202.0	5750.0	-6351.0	0.000	null	null	null	null	2631	
