Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
15:26:04.860	HC-06(00:0C:BF:11:35:3A)	-0.135	0.976	0.205	0.671	1.038	0.183	78.041	8.146	176.622	-31657.0	14083.0	-14383.0	0.000	null	null	null	null	2631	
15:26:04.934	HC-06(00:0C:BF:11:35:3A)	-0.139	0.961	0.212	-2.197	1.709	1.038	78.025	8.157	176.655	-31664.0	14097.0	-14410.0	0.000	null	null	null	null	2631	
15:26:04.968	HC-06(00:0C:BF:11:35:3A)	-0.141	0.958	0.206	1.709	3.174	0.122	78.025	8.146	176.797	-31641.0	14099.0	-14396.0	0.000	null	null	null	null	2631	
15:26:05.011	HC-06(00:0C:BF:11:35:3A)	-0.147	0.943	0.222	3.479	4.517	-0.488	78.206	8.212	176.984	-31600.0	14106.0	-14352.0	0.000	null	null	null	null	2631	
15:26:05.066	HC-06(00:0C:BF:11:35:3A)	-0.170	0.988	0.190	4.822	11.597	2.930	78.420	8.146	177.468	-31564.0	14102.0	-14289.0	0.000	null	null	null	null	2631	
15:26:05.182	HC-06(00:0C:BF:11:35:3A)	-0.180	0.991	0.169	2.319	8.423	1.831	78.624	8.108	178.000	-31353.0	14091.0	-13984.0	0.000	null	null	null	null	2631	
15:26:05.219	HC-06(00:0C:BF:11:35:3A)	-0.151	0.961	0.171	-0.732	0.122	-3.418	78.673	8.339	178.385	-31285.0	14125.0	-13890.0	0.000	null	null	null	null	2631	
15:26:05.272	HC-06(00:0C:BF:11:35:3A)	-0.170	0.944	0.208	-6.836	0.244	1.282	78.486	8.372	178.363	-31232.0	14159.0	-13802.0	0.000	null	null	null	null	2631	
15:26:05.332	HC-06(00:0C:BF:11:35:3A)	-0.130	1.004	0.182	-9.033	-3.967	-3.174	78.069	8.383	178.264	-31204.0	14197.0	-13790.0	0.000	null	null	null	null	2631	
15:26:05.387	HC-06(00:0C:BF:11:35:3A)	-0.101	0.953	0.236	-5.371	-1.648	-4.944	77.800	8.674	178.033	-31220.0	14281.0	-13835.0	0.000	null	null	null	null	2631	
15:26:05.422	HC-06(00:0C:BF:11:35:3A)	-0.169	0.943	0.249	-7.324	5.676	3.845	77.459	8.756	178.028	-31236.0	14391.0	-13826.0	0.000	null	null	null	null	2631	
15:26:05.473	HC-06(00:0C:BF:11:35:3A)	-0.149	0.973	0.210	-0.671	8.057	2.747	77.289	8.679	178.358	-31208.0	14465.0	-13778.0	0.000	null	null	null	null	2631	
15:26:05.513	HC-06(00:0C:BF:11:35:3A)	-0.144	0.982	0.225	1.587	-0.366	-8.911	77.278	8.860	178.500	-31155.0	14495.0	-13668.0	0.000	null	null	null	null	2631	
15:26:05.577	HC-06(00:0C:BF:11:35:3A)	-0.185	0.899	0.232	0.977	2.930	-1.099	77.300	9.075	178.500	-31122.0	14562.0	-13643.0	0.000	null	null	null	null	2631	
15:26:05.610	HC-06(00:0C:BF:11:35:3A)	-0.119	0.977	0.162	11.963	9.949	1.892	77.778	9.240	178.792	-31090.0	14630.0	-13638.0	0.000	null	null	null	null	2631	
15:26:05.670	HC-06(00:0C:BF:11:35:3A)	-0.198	0.942	0.204	7.263	14.160	-0.183	78.195	9.256	179.341	-31042.0	14618.0	-13579.0	0.000	null	null	null	null	2631	
15:26:05.724	HC-06(00:0C:BF:11:35:3A)	-0.216	1.009	0.165	12.207	13.306	-9.338	78.920	9.673	-179.923	-30936.0	14612.0	-13413.0	0.000	null	null	null	null	2631	
15:26:05.774	HC-06(00:0C:BF:11:35:3A)	-0.157	0.996	0.179	-23.682	-4.822	-4.761	78.618	9.954	-179.780	-30825.0	14673.0	-13203.0	0.000	null	null	null	null	2631	
15:26:05.807	HC-06(00:0C:BF:11:35:3A)	-0.171	0.881	0.222	-13.672	-3.967	-3.601	77.520	10.261	179.742	-30743.0	14822.0	-13083.0	0.000	null	null	null	null	2631	
15:26:05.888	HC-06(00:0C:BF:11:35:3A)	-0.143	0.979	0.215	-9.888	7.751	0.610	77.108	10.223	-179.929	-30714.0	14991.0	-13014.0	0.000	null	null	null	null	2631	
15:26:05.916	HC-06(00:0C:BF:11:35:3A)	-0.146	0.976	0.237	-10.315	-3.967	-10.742	76.558	10.712	179.786	-30662.0	15144.0	-12897.0	0.000	null	null	null	null	2631	
15:26:05.971	HC-06(00:0C:BF:11:35:3A)	-0.188	0.903	0.284	1.831	24.719	3.418	76.465	10.986	-179.698	-30638.0	15373.0	-12825.0	0.000	null	null	null	null	2631	
15:26:06.020	HC-06(00:0C:BF:11:35:3A)	-0.275	0.879	0.306	-9.460	31.494	10.132	76.487	10.931	-178.127	-30475.0	15454.0	-12491.0	0.000	null	null	null	null	2631	
15:26:06.077	HC-06(00:0C:BF:11:35:3A)	0.125	0.917	0.245	-1.648	24.353	18.372	76.470	10.486	-176.358	-30221.0	15400.0	-11904.0	0.000	null	null	null	null	2631	
15:26:06.109	HC-06(00:0C:BF:11:35:3A)	-0.047	0.956	0.190	23.560	2.869	6.409	76.987	10.129	-175.831	-30163.0	15116.0	-11430.0	0.000	null	null	null	null	2631	
15:26:06.176	HC-06(00:0C:BF:11:35:3A)	-0.243	1.121	-0.020	19.897	38.757	20.508	78.354	9.531	-174.128	-30387.0	14730.0	-11215.0	0.000	null	null	null	null	2631	
15:26:06.213	HC-06(00:0C:BF:11:35:3A)	-0.284	1.139	0.030	-13.245	4.028	-10.803	78.734	9.487	-173.013	-30289.0	14437.0	-10773.0	0.000	null	null	null	null	2631	
15:26:06.274	HC-06(00:0C:BF:11:35:3A)	-0.108	0.935	0.240	-38.269	-29.114	-15.381	77.179	9.932	-173.853	-29923.0	14596.0	-10382.0	0.000	null	null	null	null	2631	
15:26:06.324	HC-06(00:0C:BF:11:35:3A)	-0.153	0.848	0.379	-20.081	-52.246	-31.738	75.284	10.679	-176.902	-29757.0	15006.0	-10475.0	0.000	null	null	null	null	2631	
15:26:06.380	HC-06(00:0C:BF:11:35:3A)	-0.196	0.918	0.304	1.282	-9.460	-5.554	74.669	10.975	-178.303	-30074.0	15492.0	-11118.0	0.000	null	null	null	null	2631	
15:26:06.411	HC-06(00:0C:BF:11:35:3A)	-0.194	0.991	0.251	-1.404	-9.277	-5.432	74.608	11.085	-178.967	-30342.0	15758.0	-11585.0	0.000	null	null	null	null	2631	
15:26:06.463	HC-06(00:0C:BF:11:35:3A)	0.002	0.886	0.357	-14.099	-4.944	1.709	74.125	11.096	-179.319	-30522.0	15918.0	-11894.0	0.000	null	null	null	null	2631	
15:26:06.510	HC-06(00:0C:BF:11:35:3A)	-0.295	0.793	0.375	16.357	13.184	18.799	74.026	10.805	-179.160	-30683.0	15937.0	-12053.0	0.000	null	null	null	null	2631	
15:26:06.579	HC-06(00:0C:BF:11:35:3A)	-0.214	1.033	0.126	22.339	31.738	14.099	75.564	10.261	-177.122	-30779.0	15709.0	-11992.0	0.000	null	null	null	null	2631	
15:26:06.613	HC-06(00:0C:BF:11:35:3A)	-0.229	1.038	0.122	-3.723	1.465	-1.282	75.916	10.316	-176.721	-30784.0	15434.0	-11764.0	0.000	null	null	null	null	2631	
15:26:06.682	HC-06(00:0C:BF:11:35:3A)	-0.162	0.977	0.205	-15.259	4.883	-1.038	75.613	10.366	-176.473	-30812.0	15300.0	-11628.0	0.000	null	null	null	null	2631	
15:26:06.708	HC-06(00:0C:BF:11:35:3A)	-0.126	0.829	0.333	-22.095	-22.644	-12.390	74.399	10.849	-177.440	-30816.0	15308.0	-11488.0	0.000	null	null	null	null	2631	
15:26:06.782	HC-06(00:0C:BF:11:35:3A)	-0.027	0.950	0.280	0.916	5.371	-2.136	73.867	10.992	-177.929	-31055.0	15472.0	-11555.0	0.000	null	null	null	null	2631	
15:26:06.822	HC-06(00:0C:BF:11:35:3A)	0.000	0.696	0.341	-27.222	-37.170	-30.396	72.773	12.415	-179.604	-31400.0	15733.0	-11584.0	0.000	null	null	null	null	2631	
15:26:06.882	HC-06(00:0C:BF:11:35:3A)	-0.623	0.798	0.343	31.616	24.231	12.756	72.504	12.914	179.830	-25587.0	16558.0	-11902.0	0.000	null	null	null	null	2631	
15:26:06.914	HC-06(00:0C:BF:11:35:3A)	-0.306	1.254	0.036	37.598	51.025	12.756	75.624	12.733	-176.951	-85.0	17069.0	-11776.0	0.000	null	null	null	null	2631	
15:26:07.010	HC-06(00:0C:BF:11:35:3A)	-0.167	1.074	0.219	-19.104	-20.081	6.958	75.872	12.409	-176.682	-21205.0	17257.0	-11261.0	0.000	null	null	null	null	2631	
15:26:07.058	HC-06(00:0C:BF:11:35:3A)	-0.270	0.952	0.213	-2.930	-7.568	-11.963	74.745	12.502	-177.632	-30865.0	17016.0	-10886.0	0.000	null	null	null	null	2631	
15:26:07.131	HC-06(00:0C:BF:11:35:3A)	-0.420	0.924	0.278	-3.235	6.897	4.944	74.564	12.678	-177.731	-31475.0	17229.0	-10814.0	0.000	null	null	null	null	2631	
15:26:07.198	HC-06(00:0C:BF:11:35:3A)	-0.221	0.834	0.373	1.831	-15.747	-0.122	74.669	12.469	-177.589	-31062.0	17331.0	-10607.0	0.000	null	null	null	null	2631	
15:26:07.283	HC-06(00:0C:BF:11:35:3A)	-0.211	0.884	0.288	14.954	6.409	1.709	75.092	12.151	-177.896	-31022.0	17195.0	-10670.0	0.000	null	null	null	null	2631	
15:26:07.308	HC-06(00:0C:BF:11:35:3A)	-0.219	0.901	0.261	13.916	-1.953	-3.113	75.674	12.239	-177.819	-31141.0	17102.0	-10714.0	0.000	null	null	null	null	2631	
15:26:07.349	HC-06(00:0C:BF:11:35:3A)	-0.240	0.942	0.214	21.118	1.343	-6.775	76.399	12.574	-177.984	-31507.0	17146.0	-10880.0	0.000	null	null	null	null	2631	
15:26:07.438	HC-06(00:0C:BF:11:35:3A)	-0.229	1.063	0.103	14.954	3.723	-4.578	77.349	12.816	-177.786	-32005.0	17283.0	-11109.0	0.000	null	null	null	null	2631	
15:26:07.458	HC-06(00:0C:BF:11:35:3A)	-0.504	1.045	0.099	-0.183	5.676	1.099	77.756	12.925	-177.550	-32394.0	17416.0	-11211.0	0.000	null	null	null	null	2631	
15:26:07.498	HC-06(00:0C:BF:11:35:3A)	-0.041	0.885	0.292	-2.991	-13.306	-5.981	77.745	12.991	-177.446	-32460.0	17560.0	-11136.0	0.000	null	null	null	null	2631	
