Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
16:24:13.664	HC-06(00:0C:BF:11:35:3A)	0.018	0.114	0.988	0.610	1.892	2.014	6.773	-1.379	59.941	-28104.0	10318.0	-24172.0	0.000	null	null	null	null	57344.0.0	
16:24:13.724	HC-06(00:0C:BF:11:35:3A)	0.014	0.125	0.979	0.549	4.456	0.244	6.812	-1.176	60.035	-28104.0	10274.0	-24115.0	0.000	null	null	null	null	57344.0.0	
16:24:13.766	HC-06(00:0C:BF:11:35:3A)	0.026	0.115	0.979	0.977	-1.343	0.671	6.839	-1.099	60.057	-28104.0	10235.0	-24015.0	0.000	null	null	null	null	57344.0.0	
16:24:13.817	HC-06(00:0C:BF:11:35:3A)	0.015	0.112	0.997	0.183	1.221	1.160	6.888	-1.208	60.073	-28104.0	10196.0	-24010.0	0.000	null	null	null	null	57344.0.0	
16:24:13.871	HC-06(00:0C:BF:11:35:3A)	0.021	0.128	0.979	1.099	-1.587	1.343	6.910	-1.181	60.205	-28104.0	10129.0	-23965.0	0.000	null	null	null	null	57344.0.0	
16:24:13.920	HC-06(00:0C:BF:11:35:3A)	0.029	0.121	0.984	-0.244	-7.141	-2.502	6.932	-1.423	60.106	-28104.0	10087.0	-24002.0	0.000	null	null	null	null	57344.0.0	
16:24:13.963	HC-06(00:0C:BF:11:35:3A)	0.036	0.115	0.982	0.061	-8.118	-2.991	6.949	-1.747	59.925	-28104.0	10130.0	-24114.0	0.000	null	null	null	null	57344.0.0	
16:24:14.021	HC-06(00:0C:BF:11:35:3A)	0.041	0.118	0.988	1.343	-1.770	1.648	6.965	-1.978	59.865	-28104.0	10186.0	-24301.0	0.000	null	null	null	null	57344.0.0	
16:24:14.111	HC-06(00:0C:BF:11:35:3A)	0.030	0.118	0.995	-0.061	0.793	-0.610	6.976	-2.016	59.865	-28104.0	10204.0	-24435.0	0.000	null	null	null	null	57344.0.0	
16:24:14.215	HC-06(00:0C:BF:11:35:3A)	0.021	0.125	0.989	1.343	0.610	0.854	7.075	-1.642	60.139	-28104.0	10125.0	-24375.0	0.000	null	null	null	null	57344.0.0	
16:24:14.260	HC-06(00:0C:BF:11:35:3A)	0.013	0.123	0.985	6.348	11.597	3.540	7.344	-1.148	60.276	-28104.0	9993.0	-24196.0	0.000	null	null	null	null	57344.0.0	
16:24:14.321	HC-06(00:0C:BF:11:35:3A)	0.003	0.138	0.990	4.272	9.521	0.305	7.674	-0.665	60.441	-28104.0	9835.0	-24005.0	0.000	null	null	null	null	57344.0.0	
16:24:14.364	HC-06(00:0C:BF:11:35:3A)	-0.003	0.128	0.985	1.526	9.644	7.141	7.718	-0.236	60.584	-28104.0	9688.0	-23738.0	0.000	null	null	null	null	57344.0.0	
16:24:14.411	HC-06(00:0C:BF:11:35:3A)	-0.003	0.131	0.985	1.404	11.353	6.592	7.828	0.275	61.035	-28104.0	9538.0	-23481.0	0.000	null	null	null	null	57344.0.0	
16:24:14.467	HC-06(00:0C:BF:11:35:3A)	-0.030	0.135	1.009	-2.808	7.751	6.104	7.778	0.527	61.441	-28104.0	9336.0	-23256.0	0.000	null	null	null	null	57344.0.0	
16:24:14.515	HC-06(00:0C:BF:11:35:3A)	-0.032	0.132	0.967	-5.798	9.155	3.784	7.592	1.088	61.782	-28104.0	9160.0	-22985.0	0.000	null	null	null	null	57344.0.0	
16:24:14.561	HC-06(00:0C:BF:11:35:3A)	-0.035	0.140	0.986	-2.014	17.212	3.418	7.399	1.582	62.139	-28104.0	9061.0	-22690.0	0.000	null	null	null	null	57344.0.0	
16:24:14.607	HC-06(00:0C:BF:11:35:3A)	-0.033	0.118	0.987	-6.409	-2.502	0.000	7.185	1.846	62.128	-28104.0	9000.0	-22348.0	0.000	null	null	null	null	57344.0.0	
16:24:14.666	HC-06(00:0C:BF:11:35:3A)	-0.035	0.119	0.990	-7.385	1.892	-4.211	6.844	1.851	62.078	-28104.0	9081.0	-22216.0	0.000	null	null	null	null	57344.0.0	
16:24:14.711	HC-06(00:0C:BF:11:35:3A)	-0.026	0.097	0.977	-3.662	-7.446	3.357	6.581	1.725	62.034	-28104.0	9240.0	-22180.0	0.000	null	null	null	null	57344.0.0	
16:24:14.755	HC-06(00:0C:BF:11:35:3A)	-0.035	0.111	0.997	-8.911	-2.319	-2.991	6.411	1.401	62.205	-28104.0	9285.0	-22237.0	0.000	null	null	null	null	57344.0.0	
16:24:14.862	HC-06(00:0C:BF:11:35:3A)	-0.060	0.111	0.977	-13.672	-3.540	1.465	5.790	1.379	62.144	-28104.0	9649.0	-22349.0	0.000	null	null	null	null	57344.0.0	
16:24:14.906	HC-06(00:0C:BF:11:35:3A)	0.014	0.147	0.947	-21.545	-22.461	6.592	4.263	0.286	61.688	-28104.0	10040.0	-22541.0	0.000	null	null	null	null	57344.0.0	
16:24:14.964	HC-06(00:0C:BF:11:35:3A)	-0.012	0.057	1.021	-6.348	-5.249	3.479	3.587	-0.379	61.458	-28104.0	10492.0	-22871.0	0.000	null	null	null	null	57344.0.0	
16:24:15.011	HC-06(00:0C:BF:11:35:3A)	-0.009	0.061	0.976	4.883	18.677	6.287	3.675	0.269	61.727	-28104.0	10704.0	-23018.0	0.000	null	null	null	null	57344.0.0	
16:24:15.055	HC-06(00:0C:BF:11:35:3A)	0.011	0.077	0.988	1.709	-10.071	-2.502	3.911	0.330	61.919	-28104.0	10625.0	-22861.0	0.000	null	null	null	null	57344.0.0	
16:24:15.115	HC-06(00:0C:BF:11:35:3A)	0.002	0.053	0.996	2.319	-19.836	-2.625	3.994	-0.390	61.688	-28104.0	10563.0	-22935.0	0.000	null	null	null	null	57344.0.0	
16:24:15.165	HC-06(00:0C:BF:11:35:3A)	0.033	0.097	0.975	-5.737	-11.169	-8.301	3.988	-0.989	61.551	-28104.0	10570.0	-23259.0	0.000	null	null	null	null	57344.0.0	
16:24:15.211	HC-06(00:0C:BF:11:35:3A)	0.049	0.048	1.007	-8.057	-9.521	1.099	3.477	-1.593	61.232	-28104.0	10722.0	-23568.0	0.000	null	null	null	null	57344.0.0	
16:24:15.269	HC-06(00:0C:BF:11:35:3A)	0.054	0.000	0.996	-19.836	-16.907	-11.414	2.620	-2.258	60.661	-28104.0	11012.0	-23877.0	0.000	null	null	null	null	57344.0.0	
16:24:15.314	HC-06(00:0C:BF:11:35:3A)	0.043	0.039	1.010	-8.301	-8.362	2.808	2.049	-2.818	60.716	-28104.0	11452.0	-24169.0	0.000	null	null	null	null	57344.0.0	
16:24:15.356	HC-06(00:0C:BF:11:35:3A)	0.056	0.040	0.976	-8.423	-5.310	-8.606	1.862	-2.867	60.595	-28104.0	11642.0	-24388.0	0.000	null	null	null	null	57344.0.0	
16:24:15.414	HC-06(00:0C:BF:11:35:3A)	0.044	0.053	1.006	-1.953	-1.038	-8.667	1.675	-3.148	60.304	-28104.0	11868.0	-24500.0	0.000	null	null	null	null	57344.0.0	
16:24:15.467	HC-06(00:0C:BF:11:35:3A)	0.078	0.021	0.963	-14.709	-4.639	-25.024	1.373	-3.010	59.321	-28104.0	12194.0	-24541.0	0.000	null	null	null	null	57344.0.0	
16:24:15.511	HC-06(00:0C:BF:11:35:3A)	0.111	0.007	1.011	-13.306	-18.616	-14.954	0.582	-3.988	58.288	-28104.0	12979.0	-24622.0	0.000	null	null	null	null	57344.0.0	
16:24:15.618	HC-06(00:0C:BF:11:35:3A)	0.065	-0.065	1.022	-9.277	-4.456	-13.916	-0.159	-4.724	57.228	-28104.0	13842.0	-24920.0	0.000	null	null	null	null	57344.0.0	
16:24:15.658	HC-06(00:0C:BF:11:35:3A)	0.052	-0.006	0.991	5.493	10.742	-3.967	0.428	-3.505	57.310	-28104.0	14511.0	-24889.0	0.000	null	null	null	null	57344.0.0	
16:24:15.716	HC-06(00:0C:BF:11:35:3A)	0.050	0.011	0.991	8.545	9.521	0.000	0.857	-2.933	57.321	-28104.0	14487.0	-24665.0	0.000	null	null	null	null	57344.0.0	
16:24:15.765	HC-06(00:0C:BF:11:35:3A)	0.055	0.001	0.980	2.136	-4.700	-5.798	0.972	-2.862	57.074	-28104.0	14407.0	-24473.0	0.000	null	null	null	null	57344.0.0	
16:24:15.812	HC-06(00:0C:BF:11:35:3A)	0.077	0.023	0.994	3.784	-5.981	-2.258	1.225	-3.115	56.970	-28104.0	14419.0	-24435.0	0.000	null	null	null	null	57344.0.0	
16:24:15.865	HC-06(00:0C:BF:11:35:3A)	0.073	-0.010	1.007	-5.798	-8.423	-13.611	1.066	-3.620	56.349	-28104.0	14472.0	-24543.0	0.000	null	null	null	null	57344.0.0	
16:24:15.910	HC-06(00:0C:BF:11:35:3A)	0.040	-0.000	1.005	-0.061	6.775	3.601	1.071	-3.532	56.250	-28104.0	14697.0	-24663.0	0.000	null	null	null	null	57344.0.0	
16:24:15.958	HC-06(00:0C:BF:11:35:3A)	0.056	0.042	0.976	8.789	21.790	20.752	1.351	-2.681	57.019	-28104.0	14700.0	-24633.0	0.000	null	null	null	null	57344.0.0	
16:24:16.011	HC-06(00:0C:BF:11:35:3A)	-0.009	0.004	1.020	1.892	7.874	14.893	1.401	-2.153	57.799	-28104.0	14309.0	-24317.0	0.000	null	null	null	null	57344.0.0	
16:24:16.061	HC-06(00:0C:BF:11:35:3A)	0.046	0.112	0.951	13.245	8.179	20.752	2.164	-1.478	59.348	-28104.0	13723.0	-24068.0	0.000	null	null	null	null	57344.0.0	
16:24:16.150	HC-06(00:0C:BF:11:35:3A)	0.081	0.008	1.006	4.517	-8.850	0.610	2.170	-2.000	59.343	-28104.0	12897.0	-23938.0	0.000	null	null	null	null	57344.0.0	
16:24:16.209	HC-06(00:0C:BF:11:35:3A)	0.025	-0.048	1.044	-27.344	-13.794	-19.470	2.142	-2.477	59.304	-28104.0	12202.0	-24145.0	0.000	null	null	null	null	57344.0.0	
16:24:16.257	HC-06(00:0C:BF:11:35:3A)	0.009	0.039	0.990	12.329	30.151	13.855	2.214	-1.593	59.529	-28104.0	12442.0	-24150.0	0.000	null	null	null	null	57344.0.0	
16:24:16.305	HC-06(00:0C:BF:11:35:3A)	0.025	0.046	0.990	-8.423	9.521	-16.113	2.142	-0.681	59.359	-28104.0	12367.0	-23772.0	0.000	null	null	null	null	57344.0.0	
16:24:16.360	HC-06(00:0C:BF:11:35:3A)	-0.053	-0.012	1.031	6.287	28.198	5.920	1.835	-0.011	58.936	-28104.0	12665.0	-23387.0	0.000	null	null	null	null	57344.0.0	
16:24:16.406	HC-06(00:0C:BF:11:35:3A)	-0.021	0.074	0.940	-9.583	11.292	-6.409	2.120	1.362	59.233	-28104.0	12717.0	-22800.0	0.000	null	null	null	null	57344.0.0	
16:24:16.451	HC-06(00:0C:BF:11:35:3A)	-0.031	-0.002	0.994	-6.653	-3.235	-8.057	1.516	1.373	58.711	-28104.0	12904.0	-22291.0	0.000	null	null	null	null	57344.0.0	
16:24:16.510	HC-06(00:0C:BF:11:35:3A)	-0.008	0.031	0.973	-11.414	-14.954	4.822	1.351	1.055	58.793	-28104.0	13207.0	-22134.0	0.000	null	null	null	null	57344.0.0	
16:24:16.558	HC-06(00:0C:BF:11:35:3A)	0.023	0.014	0.982	-10.193	-26.184	3.601	0.742	-0.066	58.942	-28104.0	13347.0	-22300.0	0.000	null	null	null	null	57344.0.0	
16:24:16.604	HC-06(00:0C:BF:11:35:3A)	0.044	0.001	0.995	0.977	-25.330	13.245	0.472	-1.412	59.354	-28104.0	13447.0	-22779.0	0.000	null	null	null	null	57344.0.0	
16:24:16.664	HC-06(00:0C:BF:11:35:3A)	0.077	0.016	0.997	-2.563	-26.062	2.075	0.511	-2.604	59.689	-28104.0	13273.0	-23390.0	0.000	null	null	null	null	57344.0.0	
16:24:16.858	HC-06(00:0C:BF:11:35:3A)	0.068	-0.024	1.009	2.136	0.977	-10.071	0.132	-3.697	59.464	-28104.0	13226.0	-24630.0	0.000	null	null	null	null	57344.0.0	
16:24:16.921	HC-06(00:0C:BF:11:35:3A)	0.024	0.000	1.021	3.662	24.475	4.333	0.379	-2.999	59.139	-28104.0	13417.0	-24628.0	0.000	null	null	null	null	57344.0.0	
16:24:16.961	HC-06(00:0C:BF:11:35:3A)	0.017	0.016	0.981	1.648	23.499	-5.920	0.527	-1.774	59.068	-28104.0	13429.0	-24292.0	0.000	null	null	null	null	57344.0.0	
16:24:17.021	HC-06(00:0C:BF:11:35:3A)	-0.008	0.012	1.000	-3.418	15.564	-4.211	0.511	-0.824	58.782	-28104.0	13493.0	-23778.0	0.000	null	null	null	null	57344.0.0	
