Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
15:29:32.395	HC-06(00:0C:BF:11:35:3A)	1.043	0.006	0.027	0.793	-0.732	0.793	3.153	-87.133	166.899	-16565.0	-23346.0	-7669.0	0.000	null	null	null	null	2631	
15:29:32.442	HC-06(00:0C:BF:11:35:3A)	1.063	0.011	0.043	0.793	-0.793	2.258	2.208	-87.089	167.937	-16591.0	-23486.0	-7590.0	0.000	null	null	null	null	2631	
15:29:32.510	HC-06(00:0C:BF:11:35:3A)	1.049	0.006	0.028	0.305	-1.831	0.854	2.247	-87.160	167.992	-16613.0	-23624.0	-7520.0	0.000	null	null	null	null	2631	
15:29:32.547	HC-06(00:0C:BF:11:35:3A)	1.037	0.008	0.032	-0.244	-2.197	1.038	2.186	-87.314	168.129	-16614.0	-23752.0	-7461.0	0.000	null	null	null	null	2631	
15:29:32.589	HC-06(00:0C:BF:11:35:3A)	1.059	0.006	0.035	0.977	-2.686	0.244	2.038	-87.479	168.354	-16631.0	-23836.0	-7407.0	0.000	null	null	null	null	2631	
15:29:32.689	HC-06(00:0C:BF:11:35:3A)	0.911	0.004	0.028	-0.122	-9.338	0.732	1.978	-87.781	168.470	-16649.0	-23877.0	-7327.0	0.000	null	null	null	null	2631	
15:29:32.736	HC-06(00:0C:BF:11:35:3A)	1.007	0.005	0.051	0.732	-24.536	2.258	1.263	-88.358	169.272	-16715.0	-23928.0	-7104.0	0.000	null	null	null	null	2631	
15:29:32.797	HC-06(00:0C:BF:11:35:3A)	0.985	0.016	0.004	-1.160	-15.747	2.441	-1.461	-89.017	172.040	-16768.0	-23983.0	-6945.0	0.000	null	null	null	null	2631	
15:29:32.842	HC-06(00:0C:BF:11:35:3A)	0.983	0.000	0.026	0.122	-4.150	0.305	-10.360	-89.385	-178.896	-16839.0	-24072.0	-6726.0	0.000	null	null	null	null	2631	
15:29:32.885	HC-06(00:0C:BF:11:35:3A)	1.043	0.004	-0.004	-1.587	1.038	1.099	-13.661	-89.506	-175.485	-16871.0	-24233.0	-6563.0	0.000	null	null	null	null	2631	
15:29:32.946	HC-06(00:0C:BF:11:35:3A)	0.989	0.000	0.007	-0.610	0.793	-1.221	-10.261	-89.429	-178.500	-16873.0	-24401.0	-6490.0	0.000	null	null	null	null	2631	
15:29:32.992	HC-06(00:0C:BF:11:35:3A)	1.008	-0.002	-0.001	0.183	0.977	-0.122	-7.108	-89.401	178.616	-16861.0	-24564.0	-6451.0	0.000	null	null	null	null	2631	
15:29:33.039	HC-06(00:0C:BF:11:35:3A)	1.000	0.001	-0.003	0.427	0.366	0.061	-7.224	-89.401	178.989	-16830.0	-24691.0	-6429.0	0.000	null	null	null	null	2631	
15:29:33.100	HC-06(00:0C:BF:11:35:3A)	1.048	-0.005	0.002	0.122	-1.221	0.061	-7.471	-89.418	179.467	-16805.0	-24814.0	-6412.0	0.000	null	null	null	null	2631	
15:29:33.139	HC-06(00:0C:BF:11:35:3A)	1.018	0.002	-0.002	0.427	-3.723	-0.061	-7.443	-89.583	179.363	-16775.0	-24952.0	-6358.0	0.000	null	null	null	null	2631	
15:29:33.185	HC-06(00:0C:BF:11:35:3A)	1.020	0.000	-0.002	0.183	-6.287	-0.244	-14.496	-89.764	-173.881	-16736.0	-25110.0	-6230.0	0.000	null	null	null	null	2631	
15:29:33.243	HC-06(00:0C:BF:11:35:3A)	1.003	0.001	-0.004	1.709	-2.563	-0.122	-58.920	-89.929	-129.095	-16722.0	-25256.0	-6134.0	0.000	null	null	null	null	2631	
15:29:33.292	HC-06(00:0C:BF:11:35:3A)	0.976	0.002	-0.008	-1.404	-1.831	0.793	-126.458	-89.901	-58.804	-16703.0	-25417.0	-6027.0	0.000	null	null	null	null	2631	
15:29:33.338	HC-06(00:0C:BF:11:35:3A)	1.039	0.000	-0.013	-3.906	-5.127	1.038	-153.062	-89.753	-28.965	-16686.0	-25551.0	-5973.0	0.000	null	null	null	null	2631	
15:29:33.393	HC-06(00:0C:BF:11:35:3A)	1.010	0.002	-0.026	1.831	-14.160	0.244	-170.162	-89.028	-8.602	-16706.0	-25673.0	-5887.0	0.000	null	null	null	null	2631	
15:29:33.452	HC-06(00:0C:BF:11:35:3A)	1.000	-0.001	-0.035	1.099	-8.545	0.000	-173.260	-88.495	-2.142	-16716.0	-25777.0	-5626.0	0.000	null	null	null	null	2631	
15:29:33.500	HC-06(00:0C:BF:11:35:3A)	0.987	0.000	-0.042	1.282	-5.249	0.183	-173.979	-88.193	1.884	-16724.0	-25882.0	-5365.0	0.000	null	null	null	null	2631	
15:29:33.561	HC-06(00:0C:BF:11:35:3A)	0.998	-0.001	-0.042	1.038	-7.080	0.183	-174.529	-87.863	5.691	-16726.0	-25985.0	-5168.0	0.000	null	null	null	null	2631	
15:29:33.597	HC-06(00:0C:BF:11:35:3A)	0.979	-0.006	-0.051	1.465	-3.967	-0.061	-174.699	-87.649	9.053	-16711.0	-26095.0	-5004.0	0.000	null	null	null	null	2631	
15:29:33.647	HC-06(00:0C:BF:11:35:3A)	0.998	-0.001	-0.062	1.282	-4.395	-0.061	-175.512	-87.391	13.090	-16691.0	-26226.0	-4841.0	0.000	null	null	null	null	2631	
15:29:33.704	HC-06(00:0C:BF:11:35:3A)	1.005	-0.000	-0.052	-0.977	-1.343	0.244	-175.276	-87.363	15.903	-16631.0	-26411.0	-4665.0	0.000	null	null	null	null	2631	
15:29:33.752	HC-06(00:0C:BF:11:35:3A)	1.006	-0.002	-0.063	-0.366	-2.441	0.977	-174.754	-87.253	18.364	-16585.0	-26584.0	-4619.0	0.000	null	null	null	null	2631	
