Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
15:13:35.755	HC-06(00:0C:BF:11:35:3A)	-1.027	0.048	-0.035	-1.343	-1.099	1.221	82.123	86.567	58.063	17635.0	6538.0	-3668.0	0.000	null	null	null	null	2631	
15:13:35.756	HC-06(00:0C:BF:11:35:3A)	-1.027	0.048	-0.021	-1.343	-1.099	1.221	82.123	86.567	58.063	17635.0	6538.0	-3668.0	0.000	null	null	null	null	2631	
15:13:35.774	HC-06(00:0C:BF:11:35:3A)	-0.992	0.041	-0.032	15.442	-12.390	-1.099	80.338	86.512	54.778	17650.0	6548.0	-3633.0	0.000	null	null	null	null	2631	
15:13:35.811	HC-06(00:0C:BF:11:35:3A)	-0.983	0.079	0.015	35.706	-2.808	4.517	78.272	86.259	51.224	17656.0	6521.0	-3639.0	0.000	null	null	null	null	2631	
15:13:35.827	HC-06(00:0C:BF:11:35:3A)	-1.003	0.050	0.021	28.564	8.789	2.747	82.645	86.254	54.723	17654.0	6501.0	-3638.0	0.000	null	null	null	null	2631	
15:13:35.831	HC-06(00:0C:BF:11:35:3A)	-0.985	0.049	-0.019	18.250	22.705	-0.122	82.645	86.254	54.723	17657.0	6486.0	-3629.0	0.000	null	null	null	null	2631	
15:13:35.853	HC-06(00:0C:BF:11:35:3A)	-0.900	0.067	-0.045	18.250	22.705	-0.122	82.645	86.254	54.723	17663.0	6437.0	-3571.0	0.000	null	null	null	null	2631	
15:13:35.869	HC-06(00:0C:BF:11:35:3A)	-0.970	0.067	0.009	18.127	-12.695	-12.268	83.633	86.616	54.179	17663.0	6414.0	-3540.0	0.000	null	null	null	null	2631	
15:13:35.930	HC-06(00:0C:BF:11:35:3A)	-1.035	0.082	0.002	-42.053	-19.531	-34.973	79.536	87.209	49.779	17664.0	6481.0	-3630.0	0.000	null	null	null	null	2631	
15:13:35.990	HC-06(00:0C:BF:11:35:3A)	-1.037	0.039	-0.013	58.899	14.282	-0.427	89.335	86.918	56.684	17688.0	6532.0	-3631.0	0.000	null	null	null	null	2631	
15:13:35.995	HC-06(00:0C:BF:11:35:3A)	-1.000	0.073	0.003	17.029	-23.682	25.146	86.094	86.671	53.135	17690.0	6523.0	-3620.0	0.000	null	null	null	null	2631	
15:13:36.054	HC-06(00:0C:BF:11:35:3A)	-0.919	0.063	-0.004	32.715	-30.518	11.108	82.408	86.391	49.092	17692.0	6502.0	-3623.0	0.000	null	null	null	null	2631	
15:13:36.102	HC-06(00:0C:BF:11:35:3A)	-1.039	0.040	-0.003	32.715	-30.518	11.108	61.051	85.402	24.131	17642.0	6262.0	-3779.0	0.000	null	null	null	null	2631	
15:13:36.108	HC-06(00:0C:BF:11:35:3A)	-1.049	-0.022	0.018	45.105	-11.963	0.000	59.469	85.347	21.753	17627.0	6229.0	-3813.0	0.000	null	null	null	null	2631	
15:13:36.113	HC-06(00:0C:BF:11:35:3A)	-1.044	0.018	0.005	38.086	5.005	11.169	60.908	85.281	22.467	17616.0	6198.0	-3842.0	0.000	null	null	null	null	2631	
15:13:36.115	HC-06(00:0C:BF:11:35:3A)	-1.039	0.037	0.001	38.086	5.005	11.169	60.908	85.281	22.467	17616.0	6198.0	-3842.0	0.000	null	null	null	null	2631	
15:13:36.153	HC-06(00:0C:BF:11:35:3A)	-0.971	0.023	0.015	31.189	7.446	9.277	60.908	85.281	22.467	17616.0	6198.0	-3842.0	0.000	null	null	null	null	2631	
15:13:36.171	HC-06(00:0C:BF:11:35:3A)	-0.940	0.094	0.063	33.386	10.925	6.531	69.099	85.062	27.911	17538.0	5992.0	-3950.0	0.000	null	null	null	null	2631	
15:13:36.198	HC-06(00:0C:BF:11:35:3A)	-0.950	0.130	0.054	34.973	16.785	2.502	73.196	85.111	31.113	17525.0	5961.0	-3932.0	0.000	null	null	null	null	2631	
15:13:36.202	HC-06(00:0C:BF:11:35:3A)	-0.955	0.124	0.034	34.973	16.785	2.502	73.196	85.111	31.113	17525.0	5961.0	-3932.0	0.000	null	null	null	null	2631	
