Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:11:07.326	HC-06(00:0C:BF:11:35:3A)	-0.007	0.000	0.994	0.122	0.061	0.000	0.170	0.231	23.373	2746.0	11279.0	-15105.0	0.000	null	null	null	null	null	
13:11:07.352	HC-06(00:0C:BF:11:35:3A)	-0.005	0.001	0.993	0.122	0.061	0.000	0.170	0.231	23.373	2741.0	11260.0	-15091.0	0.000	null	null	null	null	null	
13:11:07.354	HC-06(00:0C:BF:11:35:3A)	-0.004	-0.001	0.994	0.061	0.000	0.000	0.170	0.231	23.373	2740.0	11248.0	-15086.0	0.000	null	null	null	null	null	
13:11:07.403	HC-06(00:0C:BF:11:35:3A)	-0.007	0.002	0.997	0.061	0.000	0.000	0.165	0.231	23.379	2744.0	11259.0	-15104.0	0.000	null	null	null	null	null	
13:11:07.421	HC-06(00:0C:BF:11:35:3A)	-0.007	0.000	0.997	-0.122	0.000	0.000	0.165	0.231	23.379	2737.0	11258.0	-15103.0	0.000	null	null	null	null	null	
13:11:07.423	HC-06(00:0C:BF:11:35:3A)	-0.007	0.000	0.995	-0.122	0.000	0.000	0.165	0.231	23.379	2737.0	11258.0	-15103.0	0.000	null	null	null	null	null	
13:11:07.437	HC-06(00:0C:BF:11:35:3A)	-0.006	0.002	0.993	-0.122	0.000	0.000	0.165	0.236	23.379	2739.0	11264.0	-15115.0	0.000	null	null	null	null	null	
13:11:07.440	HC-06(00:0C:BF:11:35:3A)	-0.005	0.002	0.996	0.000	-0.061	0.000	0.165	0.236	23.379	2741.0	11265.0	-15121.0	0.000	null	null	null	null	null	
13:11:07.454	HC-06(00:0C:BF:11:35:3A)	-0.005	0.001	0.995	0.061	-0.061	0.000	0.165	0.236	23.379	2742.0	11263.0	-15115.0	0.000	null	null	null	null	null	
13:11:07.463	HC-06(00:0C:BF:11:35:3A)	-0.006	0.000	0.996	0.061	0.000	0.000	0.165	0.236	23.379	2745.0	11264.0	-15102.0	0.000	null	null	null	null	null	
13:11:07.476	HC-06(00:0C:BF:11:35:3A)	-0.005	0.002	0.993	0.000	-0.122	0.000	0.165	0.236	23.379	2748.0	11252.0	-15092.0	0.000	null	null	null	null	null	
13:11:07.486	HC-06(00:0C:BF:11:35:3A)	-0.008	0.001	0.995	0.061	0.000	0.000	0.165	0.236	23.379	2748.0	11238.0	-15087.0	0.000	null	null	null	null	null	
13:11:07.490	HC-06(00:0C:BF:11:35:3A)	-0.007	0.001	0.997	0.000	-0.061	0.000	0.159	0.236	23.379	2751.0	11220.0	-15090.0	0.000	null	null	null	null	null	
13:11:07.495	HC-06(00:0C:BF:11:35:3A)	-0.006	0.001	0.995	0.000	0.000	0.000	0.159	0.236	23.384	2752.0	11214.0	-15088.0	0.000	null	null	null	null	null	
13:11:07.504	HC-06(00:0C:BF:11:35:3A)	-0.005	0.004	0.995	0.000	0.000	0.000	0.159	0.242	23.384	2750.0	11214.0	-15092.0	0.000	null	null	null	null	null	
13:11:07.523	HC-06(00:0C:BF:11:35:3A)	-0.005	0.001	0.997	0.000	0.000	0.000	0.159	0.242	23.384	2747.0	11216.0	-15099.0	0.000	null	null	null	null	null	
13:11:07.526	HC-06(00:0C:BF:11:35:3A)	-0.005	0.002	0.995	0.000	0.000	0.000	0.159	0.242	23.384	2749.0	11219.0	-15121.0	0.000	null	null	null	null	null	
13:11:07.538	HC-06(00:0C:BF:11:35:3A)	-0.006	0.002	0.995	0.000	0.000	0.000	0.159	0.242	23.384	2747.0	11220.0	-15122.0	0.000	null	null	null	null	null	
13:11:07.542	HC-06(00:0C:BF:11:35:3A)	-0.004	0.001	0.995	0.000	0.000	0.000	0.159	0.242	23.384	2745.0	11221.0	-15123.0	0.000	null	null	null	null	null	
13:11:07.545	HC-06(00:0C:BF:11:35:3A)	-0.006	0.002	0.993	0.000	0.000	0.000	0.159	0.242	23.384	2743.0	11223.0	-15125.0	0.000	null	null	null	null	null	
13:11:07.556	HC-06(00:0C:BF:11:35:3A)	-0.008	0.001	0.995	0.000	0.000	0.000	0.159	0.242	23.384	2742.0	11230.0	-15126.0	0.000	null	null	null	null	null	
13:11:07.560	HC-06(00:0C:BF:11:35:3A)	-0.007	-0.001	0.996	0.000	0.000	0.000	0.159	0.242	23.384	2744.0	11230.0	-15122.0	0.000	null	null	null	null	null	
13:11:07.571	HC-06(00:0C:BF:11:35:3A)	-0.006	0.001	0.997	0.000	0.000	0.000	0.154	0.247	23.384	2744.0	11228.0	-15117.0	0.000	null	null	null	null	null	
13:11:07.585	HC-06(00:0C:BF:11:35:3A)	-0.005	0.002	0.997	0.000	0.000	0.000	0.154	0.247	23.384	2743.0	11232.0	-15109.0	0.000	null	null	null	null	null	
13:11:07.591	HC-06(00:0C:BF:11:35:3A)	-0.006	0.003	0.996	0.000	0.000	0.000	0.154	0.247	23.384	2740.0	11238.0	-15104.0	0.000	null	null	null	null	null	
13:11:07.599	HC-06(00:0C:BF:11:35:3A)	-0.005	0.003	0.994	0.000	0.000	0.000	0.154	0.247	23.384	2739.0	11243.0	-15109.0	0.000	null	null	null	null	null	
13:11:07.619	HC-06(00:0C:BF:11:35:3A)	-0.005	-0.001	0.995	0.000	0.000	0.000	0.154	0.247	23.390	2740.0	11248.0	-15111.0	0.000	null	null	null	null	null	
13:11:07.623	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.997	0.000	0.000	0.000	0.154	0.247	23.390	2737.0	11248.0	-15105.0	0.000	null	null	null	null	null	
13:11:07.632	HC-06(00:0C:BF:11:35:3A)	-0.003	0.001	0.998	0.000	0.000	0.000	0.154	0.247	23.390	2735.0	11251.0	-15104.0	0.000	null	null	null	null	null	
13:11:07.661	HC-06(00:0C:BF:11:35:3A)	-0.004	0.000	0.998	0.000	0.000	0.000	0.154	0.247	23.390	2737.0	11251.0	-15110.0	0.000	null	null	null	null	null	
13:11:07.671	HC-06(00:0C:BF:11:35:3A)	-0.005	0.002	0.996	0.000	0.000	0.000	0.154	0.247	23.390	2740.0	11246.0	-15111.0	0.000	null	null	null	null	null	
13:11:07.680	HC-06(00:0C:BF:11:35:3A)	-0.007	0.001	0.999	0.000	0.000	0.000	0.154	0.253	23.390	2740.0	11251.0	-15110.0	0.000	null	null	null	null	null	
13:11:07.688	HC-06(00:0C:BF:11:35:3A)	-0.006	0.001	0.994	0.000	0.000	0.000	0.154	0.253	23.390	2738.0	11257.0	-15110.0	0.000	null	null	null	null	null	
13:11:07.695	HC-06(00:0C:BF:11:35:3A)	-0.004	0.000	0.993	0.000	0.000	0.000	0.154	0.253	23.390	2737.0	11256.0	-15110.0	0.000	null	null	null	null	null	
13:11:07.703	HC-06(00:0C:BF:11:35:3A)	-0.006	0.000	0.996	0.000	0.000	0.000	0.148	0.253	23.390	2738.0	11261.0	-15107.0	0.000	null	null	null	null	null	
