Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:18:09.046	HC-06(00:0C:BF:11:35:3A)	-0.004	0.018	0.999	-1.831	-1.587	1.465	1.176	-0.242	43.638	8709.0	9832.0	-905.0	0.000	null	null	null	null	2631	
13:18:09.047	HC-06(00:0C:BF:11:35:3A)	-0.004	0.018	0.999	-1.831	-1.587	1.465	1.176	-0.242	43.638	8709.0	9832.0	-905.0	0.000	null	null	null	null	2631	
13:18:09.054	HC-06(00:0C:BF:11:35:3A)	-0.006	0.026	0.985	-2.258	-1.770	1.526	1.176	-0.247	43.632	8711.0	9829.0	-880.0	0.000	null	null	null	null	2631	
13:18:09.238	HC-06(00:0C:BF:11:35:3A)	-0.006	0.037	0.996	-0.244	-0.244	1.160	1.203	-0.242	43.610	8703.0	9843.0	-871.0	0.000	null	null	null	null	2631	
13:18:09.262	HC-06(00:0C:BF:11:35:3A)	0.008	0.024	1.002	-0.183	-0.366	1.160	1.208	-0.236	43.605	8712.0	9833.0	-841.0	0.000	null	null	null	null	2631	
13:18:09.282	HC-06(00:0C:BF:11:35:3A)	0.009	0.025	0.994	0.061	0.061	1.160	1.208	-0.236	43.605	8710.0	9851.0	-850.0	0.000	null	null	null	null	2631	
13:18:09.296	HC-06(00:0C:BF:11:35:3A)	-0.000	0.028	0.991	0.061	0.061	1.160	1.219	-0.236	43.599	8712.0	9840.0	-849.0	0.000	null	null	null	null	2631	
13:18:09.312	HC-06(00:0C:BF:11:35:3A)	-0.001	0.017	0.992	-0.183	-0.488	1.282	1.214	-0.242	43.599	8713.0	9836.0	-852.0	0.000	null	null	null	null	2631	
13:18:09.419	HC-06(00:0C:BF:11:35:3A)	0.003	0.019	0.992	0.122	0.000	1.160	1.230	-0.231	43.588	8712.0	9848.0	-845.0	0.000	null	null	null	null	2631	
13:18:09.450	HC-06(00:0C:BF:11:35:3A)	-0.007	0.022	0.986	0.427	0.000	1.038	1.230	-0.231	43.588	8708.0	9856.0	-835.0	0.000	null	null	null	null	2631	
13:18:09.525	HC-06(00:0C:BF:11:35:3A)	-0.003	0.018	0.992	0.000	0.000	1.160	1.241	-0.231	43.572	8711.0	9864.0	-818.0	0.000	null	null	null	null	2631	
