Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
21:35:59.563	HC-06(00:0C:BF:11:35:3A)	-0.021	-0.011	0.998	0.000	0.000	0.000	-0.632	1.027	116.631	4862.0	6804.0	-10603.0	0.000	null	null	null	null	57344.0.0	
21:35:59.564	HC-06(00:0C:BF:11:35:3A)	-0.021	-0.011	0.998	0.000	0.000	0.000	-0.632	1.027	116.631	4862.0	6804.0	-10603.0	0.000	null	null	null	null	57344.0.0	
21:35:59.651	HC-06(00:0C:BF:11:35:3A)	-0.014	-0.010	0.995	0.000	0.000	0.000	-0.632	1.027	116.631	4861.0	6807.0	-10610.0	0.000	null	null	null	null	57344.0.0	
21:35:59.652	HC-06(00:0C:BF:11:35:3A)	-0.014	-0.010	0.995	0.000	0.000	0.000	-0.632	1.027	116.631	4861.0	6807.0	-10610.0	0.000	null	null	null	null	57344.0.0	
21:35:59.752	HC-06(00:0C:BF:11:35:3A)	-0.021	-0.013	0.997	0.000	0.000	0.000	-0.632	1.027	116.631	4856.0	6814.0	-10599.0	0.000	null	null	null	null	57344.0.0	
21:35:59.753	HC-06(00:0C:BF:11:35:3A)	-0.021	-0.013	0.997	0.000	0.000	0.000	-0.632	1.027	116.631	4856.0	6814.0	-10599.0	0.000	null	null	null	null	57344.0.0	
21:35:59.861	HC-06(00:0C:BF:11:35:3A)	-0.017	-0.010	0.995	0.000	0.000	0.000	-0.637	1.027	116.631	4858.0	6804.0	-10596.0	0.000	null	null	null	null	57344.0.0	
21:35:59.861	HC-06(00:0C:BF:11:35:3A)	-0.017	-0.010	0.995	0.000	0.000	0.000	-0.637	1.027	116.631	4858.0	6804.0	-10596.0	0.000	null	null	null	null	57344.0.0	
21:35:59.969	HC-06(00:0C:BF:11:35:3A)	-0.017	-0.011	0.994	0.000	0.000	0.000	-0.637	1.027	116.631	4850.0	6811.0	-10614.0	0.000	null	null	null	null	57344.0.0	
21:35:59.969	HC-06(00:0C:BF:11:35:3A)	-0.017	-0.011	0.994	0.000	0.000	0.000	-0.637	1.027	116.631	4850.0	6811.0	-10614.0	0.000	null	null	null	null	57344.0.0	
21:36:00.057	HC-06(00:0C:BF:11:35:3A)	-0.018	-0.011	0.996	0.000	0.000	0.000	-0.637	1.027	116.636	4850.0	6814.0	-10619.0	0.000	null	null	null	null	57344.0.0	
21:36:00.058	HC-06(00:0C:BF:11:35:3A)	-0.018	-0.011	0.996	0.000	0.000	0.000	-0.637	1.027	116.636	4850.0	6814.0	-10619.0	0.000	null	null	null	null	57344.0.0	
21:36:00.158	HC-06(00:0C:BF:11:35:3A)	-0.017	-0.012	0.995	0.000	0.000	0.000	-0.637	1.027	116.636	4854.0	6808.0	-10618.0	0.000	null	null	null	null	57344.0.0	
21:36:00.158	HC-06(00:0C:BF:11:35:3A)	-0.017	-0.012	0.995	0.000	0.000	0.000	-0.637	1.027	116.636	4854.0	6808.0	-10618.0	0.000	null	null	null	null	57344.0.0	
21:36:00.248	HC-06(00:0C:BF:11:35:3A)	-0.020	-0.011	0.996	0.000	0.000	0.000	-0.637	1.027	116.636	4851.0	6817.0	-10604.0	0.000	null	null	null	null	57344.0.0	
