Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
12:14:29.027	HC-06(00:0C:BF:11:35:3A)	-0.011	0.000	0.994	0.000	0.000	0.000	0.181	0.566	36.936	6288.0	7935.0	-5078.0	0.000	null	null	null	null	2631	
12:14:29.039	HC-06(00:0C:BF:11:35:3A)	-0.011	-0.001	0.991	0.000	0.000	0.000	0.181	0.566	36.953	6280.0	7948.0	-5065.0	0.000	null	null	null	null	2631	
12:14:29.046	HC-06(00:0C:BF:11:35:3A)	-0.010	0.003	0.996	0.000	0.000	0.000	0.181	0.566	36.958	6276.0	7955.0	-5058.0	0.000	null	null	null	null	2631	
12:14:29.054	HC-06(00:0C:BF:11:35:3A)	-0.007	0.002	0.995	0.000	0.000	0.000	0.181	0.566	36.964	6279.0	7962.0	-5061.0	0.000	null	null	null	null	2631	
12:14:29.068	HC-06(00:0C:BF:11:35:3A)	-0.009	0.002	0.993	0.000	0.000	0.000	0.176	0.566	36.974	6282.0	7964.0	-5071.0	0.000	null	null	null	null	2631	
12:14:29.075	HC-06(00:0C:BF:11:35:3A)	-0.011	0.004	0.997	0.000	0.000	0.000	0.176	0.566	36.980	6283.0	7960.0	-5079.0	0.000	null	null	null	null	2631	
12:14:29.085	HC-06(00:0C:BF:11:35:3A)	-0.012	0.002	0.995	0.000	0.000	0.000	0.176	0.566	36.985	6282.0	7957.0	-5073.0	0.000	null	null	null	null	2631	
12:14:29.098	HC-06(00:0C:BF:11:35:3A)	-0.008	0.002	0.996	0.000	0.000	0.000	0.176	0.566	36.991	6280.0	7961.0	-5066.0	0.000	null	null	null	null	2631	
12:14:29.112	HC-06(00:0C:BF:11:35:3A)	-0.009	0.003	0.993	0.000	0.000	0.000	0.176	0.566	36.996	6283.0	7960.0	-5064.0	0.000	null	null	null	null	2631	
12:14:29.131	HC-06(00:0C:BF:11:35:3A)	-0.010	0.001	0.991	0.000	0.000	0.000	0.176	0.566	37.007	6287.0	7954.0	-5065.0	0.000	null	null	null	null	2631	
12:14:29.146	HC-06(00:0C:BF:11:35:3A)	-0.012	0.002	0.995	0.000	0.000	0.000	0.176	0.566	37.024	6290.0	7962.0	-5067.0	0.000	null	null	null	null	2631	
12:14:29.156	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.995	0.000	0.000	0.000	0.176	0.566	37.029	6293.0	7967.0	-5069.0	0.000	null	null	null	null	2631	
12:14:29.162	HC-06(00:0C:BF:11:35:3A)	-0.010	0.001	0.995	0.000	0.000	0.000	0.170	0.566	37.035	6293.0	7966.0	-5069.0	0.000	null	null	null	null	2631	
12:14:29.175	HC-06(00:0C:BF:11:35:3A)	-0.010	0.000	0.996	0.000	0.000	0.000	0.170	0.566	37.046	6291.0	7962.0	-5066.0	0.000	null	null	null	null	2631	
12:14:29.187	HC-06(00:0C:BF:11:35:3A)	-0.010	-0.000	0.994	0.000	0.000	0.000	0.170	0.566	37.051	6289.0	7961.0	-5068.0	0.000	null	null	null	null	2631	
12:14:29.194	HC-06(00:0C:BF:11:35:3A)	-0.011	0.002	0.997	0.000	0.000	0.000	0.170	0.566	37.057	6287.0	7958.0	-5075.0	0.000	null	null	null	null	2631	
12:14:29.205	HC-06(00:0C:BF:11:35:3A)	-0.011	0.001	0.995	0.000	0.000	0.000	0.170	0.566	37.062	6286.0	7958.0	-5078.0	0.000	null	null	null	null	2631	
12:14:29.232	HC-06(00:0C:BF:11:35:3A)	-0.010	0.002	0.996	0.000	0.000	0.000	0.170	0.566	37.068	6283.0	7960.0	-5079.0	0.000	null	null	null	null	2631	
12:14:29.238	HC-06(00:0C:BF:11:35:3A)	-0.009	0.002	0.995	0.000	0.000	0.000	0.170	0.566	37.079	6283.0	7960.0	-5079.0	0.000	null	null	null	null	2631	
12:14:29.246	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.000	0.995	0.000	0.000	0.000	0.170	0.566	37.084	6278.0	7962.0	-5074.0	0.000	null	null	null	null	2631	
12:14:29.252	HC-06(00:0C:BF:11:35:3A)	-0.011	0.001	0.994	0.000	0.000	0.000	0.165	0.571	37.095	6278.0	7956.0	-5070.0	0.000	null	null	null	null	2631	
12:14:29.265	HC-06(00:0C:BF:11:35:3A)	-0.008	0.001	0.999	0.000	0.000	0.000	0.165	0.571	37.101	6278.0	7957.0	-5065.0	0.000	null	null	null	null	2631	
12:14:29.280	HC-06(00:0C:BF:11:35:3A)	-0.010	0.000	0.994	0.000	0.000	0.000	0.165	0.571	37.106	6284.0	7959.0	-5065.0	0.000	null	null	null	null	2631	
12:14:29.284	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.996	0.000	0.000	0.000	0.165	0.571	37.112	6288.0	7962.0	-5066.0	0.000	null	null	null	null	2631	
12:14:29.292	HC-06(00:0C:BF:11:35:3A)	-0.009	0.001	0.996	0.000	0.000	0.000	0.165	0.571	37.117	6291.0	7966.0	-5067.0	0.000	null	null	null	null	2631	
12:14:29.307	HC-06(00:0C:BF:11:35:3A)	-0.009	0.002	0.993	0.000	0.000	0.000	0.165	0.571	37.123	6290.0	7970.0	-5061.0	0.000	null	null	null	null	2631	
12:14:29.325	HC-06(00:0C:BF:11:35:3A)	-0.011	0.000	0.995	0.000	0.000	0.000	0.165	0.571	37.128	6291.0	7972.0	-5059.0	0.000	null	null	null	null	2631	
12:14:29.329	HC-06(00:0C:BF:11:35:3A)	-0.013	-0.001	0.997	0.000	0.000	0.000	0.165	0.571	37.134	6293.0	7973.0	-5065.0	0.000	null	null	null	null	2631	
12:14:29.338	HC-06(00:0C:BF:11:35:3A)	-0.010	0.000	0.994	0.000	0.000	0.000	0.165	0.571	37.139	6293.0	7970.0	-5074.0	0.000	null	null	null	null	2631	
12:14:29.347	HC-06(00:0C:BF:11:35:3A)	-0.014	0.003	0.995	0.000	0.000	0.000	0.159	0.571	37.145	6289.0	7971.0	-5086.0	0.000	null	null	null	null	2631	
12:14:29.354	HC-06(00:0C:BF:11:35:3A)	-0.010	0.004	0.995	0.000	0.000	0.000	0.159	0.571	37.150	6285.0	7974.0	-5094.0	0.000	null	null	null	null	2631	
12:14:29.366	HC-06(00:0C:BF:11:35:3A)	-0.011	0.001	0.995	0.000	0.000	0.000	0.159	0.571	37.156	6281.0	7975.0	-5099.0	0.000	null	null	null	null	2631	
12:14:29.379	HC-06(00:0C:BF:11:35:3A)	-0.010	0.002	0.998	0.000	0.000	0.000	0.159	0.571	37.161	6282.0	7973.0	-5090.0	0.000	null	null	null	null	2631	
12:14:29.387	HC-06(00:0C:BF:11:35:3A)	-0.012	0.000	0.996	0.000	0.000	0.000	0.159	0.571	37.167	6281.0	7966.0	-5070.0	0.000	null	null	null	null	2631	
12:14:29.399	HC-06(00:0C:BF:11:35:3A)	-0.010	0.000	0.994	0.000	0.000	0.000	0.159	0.571	37.172	6279.0	7965.0	-5061.0	0.000	null	null	null	null	2631	
12:14:29.411	HC-06(00:0C:BF:11:35:3A)	-0.010	0.001	0.995	0.000	0.000	0.000	0.159	0.571	37.178	6277.0	7967.0	-5056.0	0.000	null	null	null	null	2631	
12:14:29.429	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.000	0.995	0.000	0.000	0.000	0.159	0.571	37.183	6277.0	7967.0	-5053.0	0.000	null	null	null	null	2631	
12:14:29.441	HC-06(00:0C:BF:11:35:3A)	-0.008	0.001	0.997	0.000	0.000	0.000	0.159	0.571	37.183	6283.0	7962.0	-5055.0	0.000	null	null	null	null	2631	
12:14:29.446	HC-06(00:0C:BF:11:35:3A)	-0.008	0.000	0.993	0.000	0.000	0.000	0.154	0.571	37.200	6281.0	7960.0	-5055.0	0.000	null	null	null	null	2631	
12:14:29.457	HC-06(00:0C:BF:11:35:3A)	-0.012	0.004	0.995	0.000	0.000	0.000	0.154	0.571	37.205	6278.0	7962.0	-5057.0	0.000	null	null	null	null	2631	
12:14:29.464	HC-06(00:0C:BF:11:35:3A)	-0.010	0.002	0.996	0.000	0.000	0.000	0.154	0.571	37.211	6279.0	7966.0	-5059.0	0.000	null	null	null	null	2631	
12:14:29.476	HC-06(00:0C:BF:11:35:3A)	-0.008	0.002	0.995	0.000	0.000	0.000	0.154	0.571	37.216	6282.0	7964.0	-5058.0	0.000	null	null	null	null	2631	
12:14:29.485	HC-06(00:0C:BF:11:35:3A)	-0.012	0.004	0.994	0.000	0.000	0.000	0.154	0.571	37.222	6286.0	7957.0	-5051.0	0.000	null	null	null	null	2631	
12:14:29.491	HC-06(00:0C:BF:11:35:3A)	-0.012	0.001	0.997	0.000	0.000	0.000	0.154	0.571	37.227	6291.0	7948.0	-5043.0	0.000	null	null	null	null	2631	
12:14:29.530	HC-06(00:0C:BF:11:35:3A)	-0.010	0.002	0.997	0.000	0.000	0.000	0.154	0.571	37.233	6294.0	7944.0	-5037.0	0.000	null	null	null	null	2631	
12:14:29.535	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.001	0.996	0.000	0.000	0.000	0.154	0.571	37.233	6294.0	7944.0	-5037.0	0.000	null	null	null	null	2631	
12:14:29.545	HC-06(00:0C:BF:11:35:3A)	-0.009	0.001	0.996	0.000	0.000	0.000	0.154	0.571	37.249	6285.0	7956.0	-5070.0	0.000	null	null	null	null	2631	
12:14:29.551	HC-06(00:0C:BF:11:35:3A)	-0.010	0.001	0.993	0.000	0.000	0.000	0.154	0.571	37.249	6285.0	7958.0	-5074.0	0.000	null	null	null	null	2631	
