Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
12:46:36.889	HC-06(00:0C:BF:11:35:3A)	-0.004	-0.020	0.995	0.000	0.000	0.000	-1.154	0.335	27.004	3606.0	6760.0	4403.0	0.000	null	null	null	null	57344.0.0	
12:46:36.894	HC-06(00:0C:BF:11:35:3A)	-0.006	-0.017	0.993	0.000	0.000	0.000	-1.154	0.335	27.026	3614.0	6773.0	4423.0	0.000	null	null	null	null	57344.0.0	
12:46:36.902	HC-06(00:0C:BF:11:35:3A)	-0.006	-0.017	0.993	0.000	0.000	0.000	-1.154	0.335	27.026	3614.0	6773.0	4423.0	0.000	null	null	null	null	57344.0.0	
12:46:36.987	HC-06(00:0C:BF:11:35:3A)	-0.004	-0.021	0.992	0.000	0.000	0.000	-1.154	0.335	27.065	3603.0	6765.0	4401.0	0.000	null	null	null	null	57344.0.0	
12:46:36.988	HC-06(00:0C:BF:11:35:3A)	-0.004	-0.021	0.992	0.000	0.000	0.000	-1.154	0.335	27.065	3603.0	6765.0	4401.0	0.000	null	null	null	null	57344.0.0	
12:46:37.007	HC-06(00:0C:BF:11:35:3A)	-0.007	-0.018	0.992	0.000	0.000	0.000	-1.154	0.335	27.087	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.007	HC-06(00:0C:BF:11:35:3A)	-0.007	-0.018	0.992	0.000	0.000	0.000	-1.154	0.335	27.087	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.036	HC-06(00:0C:BF:11:35:3A)	-0.007	-0.020	0.994	0.000	0.000	0.000	-1.154	0.335	27.103	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.036	HC-06(00:0C:BF:11:35:3A)	-0.007	-0.020	0.994	0.000	0.000	0.000	-1.154	0.335	27.103	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.037	HC-06(00:0C:BF:11:35:3A)	-0.007	-0.020	0.996	0.000	0.000	0.000	-1.154	0.335	27.109	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.037	HC-06(00:0C:BF:11:35:3A)	-0.007	-0.020	0.996	0.000	0.000	0.000	-1.154	0.335	27.109	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.064	HC-06(00:0C:BF:11:35:3A)	-0.003	-0.022	0.995	0.000	0.000	0.000	-1.154	0.335	27.125	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.064	HC-06(00:0C:BF:11:35:3A)	-0.003	-0.022	0.995	0.000	0.000	0.000	-1.154	0.335	27.125	3612.0	6748.0	4391.0	0.000	null	null	null	null	57344.0.0	
12:46:37.090	HC-06(00:0C:BF:11:35:3A)	-0.006	-0.019	0.995	0.000	0.000	0.000	-1.154	0.335	27.125	3592.0	6766.0	4390.0	0.000	null	null	null	null	57344.0.0	
12:46:37.090	HC-06(00:0C:BF:11:35:3A)	-0.006	-0.019	0.995	0.000	0.000	0.000	-1.154	0.335	27.125	3592.0	6766.0	4390.0	0.000	null	null	null	null	57344.0.0	
12:46:37.102	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.020	0.994	0.000	0.000	0.000	-1.154	0.335	27.131	3594.0	6764.0	4388.0	0.000	null	null	null	null	57344.0.0	
12:46:37.102	HC-06(00:0C:BF:11:35:3A)	-0.009	-0.020	0.994	0.000	0.000	0.000	-1.154	0.335	27.131	3594.0	6764.0	4388.0	0.000	null	null	null	null	57344.0.0	
12:46:37.137	HC-06(00:0C:BF:11:35:3A)	-0.008	-0.020	0.993	0.000	0.000	0.000	-1.154	0.335	27.136	3596.0	6764.0	4385.0	0.000	null	null	null	null	57344.0.0	
12:46:37.137	HC-06(00:0C:BF:11:35:3A)	-0.008	-0.020	0.993	0.000	0.000	0.000	-1.154	0.335	27.136	3596.0	6764.0	4385.0	0.000	null	null	null	null	57344.0.0	
12:46:37.143	HC-06(00:0C:BF:11:35:3A)	-0.004	-0.021	0.994	0.000	0.000	0.000	-1.154	0.335	27.158	3596.0	6764.0	4385.0	0.000	null	null	null	null	57344.0.0	
12:46:37.144	HC-06(00:0C:BF:11:35:3A)	-0.004	-0.021	0.994	0.000	0.000	0.000	-1.154	0.335	27.158	3596.0	6764.0	4385.0	0.000	null	null	null	null	57344.0.0	
12:46:37.167	HC-06(00:0C:BF:11:35:3A)	-0.004	-0.020	0.996	0.000	0.000	0.000	-1.154	0.335	27.169	3604.0	6757.0	4401.0	0.000	null	null	null	null	57344.0.0	
